,First Term,Second Term
137,MUTINY,_______________________________
138,Priced,rubbish
139,Miciorr~iriiatu~e,lnstrument
140,Klan,Nazi
141,colitis,erythematosus
142,PAPER,PUBLICATION
143,Area/Park,SUITE
144,BUDGETING,RELICS
145,PTS,Urine
146,PLEURA,SOFT
147,Hawkeye,Viper
148,OBTAINING,SACROILIAC
149,Digestive,Hematologic
150,MCOS,V-
151,ASKED,FEE
152,Bowes,Pitney
153,IIJSN,hishor+inn
154,Violent,anti-U.S.
155,Chinese-Mandarin,Hayward
156,APPROVE,SUBSEQUENTLY
157,INC,germ
158,ALTER/REMOVE,CASES
159,ABUSE,LAW
160,Limited-use,Renal
161,DOORS,USML//REL
162,INTERSTATE,SLAVE
163,Megapascal,Tetrachlorodifluoropropane
164,LIFE,PETROLEUM
165,Serve,Serves
166,Jose,Lundy
167,coerce,intimidate
168,NEVER,REGISTER
169,CIVILIAN,PERSONNEL
170,irritating,sensitizing
171,heat-resisting,nitrobenzene
172,CLOSE,POWERS
173,tandem,terminal-generated
174,COMPENSATORY,REASONABLE
175,FLEXIBLE,REGRADED
176,Isnc,hlalntenanci
177,EXTENSION,PRELIMINARY
178,CALL,RADIATION
179,CERCLIS,Sowbugs
180,IPSP,Internship
181,Rwanda,stepmother
182,NEGLIGENCE,TERRORISTS/DESIGNATED
183,Cyclohexanone,Ethyl
184,PARTICIPATION,TRANSFERS
185,CONSULTATION,SINGLE
186,CRIME,SUBMITTING
187,PACKAGE,PREREQUISITES
188,GUIDE,POLICE
189,LCOS,NECK
190,Krytron,Shelekova
191,Cupric,bicarbonate
192,Dichlorotrifluoroethane,MRW
193,equipment/technology/platform,monoplane
194,Dichloropropane,kg/GJ
195,DUST,PASTE
196,Proportions,_____SUBSTANTIVE
197,Stratolifter,re-engined
198,Detector,Freeboard
199,FUNCTION,OPPORTUNITY
200,CM=Cadet/Midshipman,WG=Wage
201,Acetylene,Foam
202,Argentina,Coord
203,DIGITAL,FEE
204,NGOS,USTS
205,LinkedIn,folk
206,INPUT,TERRITORY
207,Rccruit,webinars
208,hypersomnia,weirs
209,CATEGORY,GROUP
210,CONSULTANT,unbent
211,Builder,Practltloner
212,DRINK,FOODS
213,code/designations,skill/specialty
214,AGREEMENTS,EMPLOYMENT
215,catering,linen
216,lnee~ng,motels
217,AFTER,BEFORE
218,Zinc,shells
219,Neonatal-perinatal,nephrology
220,NEUTRALIZATION,PROGRAMMING
221,repo,required*
222,//RESTRICTED,CANCER
223,BELT,pacemaker
224,GROUNDS,INTERESTS
225,Iodine,irresponsible
226,Splicing,Teclmic~an
227,AVE,Juan
228,PBU,____________________________________
229,AIRCRAFT,CONTAINERS
230,Lackland,Tyndall
231,Rwanda,Surfaced
232,congenita,pachyonychia
233,Air-to-surface,Harrier
234,CHAPLAIN,ROUTING
235,pouring,refurbishment
236,hint,submunition
237,Supcrinta~dcnt,horticulture/horticultural
238,Broadcasting,swollen
239,MEASURING,SECURITY/ANTITERRORISM
240,GCWAVU,~-~
241,HOC,UNTIMELY
242,Cote,DIvoire
243,Djibouti,Russia
244,Brunswick,FLIR
245,DECLARATIONS,LOGICAL
246,Conductive,Pyrotechnic
247,CHARGE,MAILING
248,Incinerationf,Quarrymen
249,TDDs,intrepid
250,fetuses,subornation
251,Cambodian,Trichlorotrifluoropropane
252,Ethylene,Hexachlorocyclopentadiene
253,Cupboards,Systcms
254,-Prohibited,repelling
255,RECIPROCAL,UPON
256,antennae,tablets
257,Pup,Supersonic
258,Peripheral,arthritis
259,Retirement-Mandatory,TSI
260,ARTWORK,ZHA
261,Cornish,Lowland
262,PROVIDING,WARRANT
263,PROFESSIONAL,STRENGTH
264,Belts,recoilless
265,Carlo,Monte
266,HMO,NAME_________
267,Diesel,Wholesale
268,Hill,Somalia
269,LOST,MAKING
270,dimethyl,hydrazine
271,Enclosures-,Ornamental
272,AGENTS,PERMITS
273,Hill,MCAS
274,Polaris,Remanufactured
275,FUNERALS,LADY
276,IMPROVISED,PROHIBITED
277,BY,FOREIGN
278,ANALYTE,DEBARMENTS
279,INC,Waybill
280,BRING,CAST
281,Reasoning,Segregating
282,Islam,Texan
283,carboxylic,slurry/sludge
284,Faith,OFFENSE_TYPE
285,Qatar,larynx
286,Dutch,aircard
287,DEVELOP,NON-GOVERNMENT
288,Scanning,unstuffing
289,biometrics-enabled,forensics-enabled
290,Glove,Shells
291,ALARM,Oxford
292,DYNAMIC,INSTRUCTIONS
293,COORDINATIONS,TARGET
294,ANALYTE,COTTON
295,Navigational,Sunset
296,ACCOUNTABILITY,PROVISIONING
297,COMMISSARY,TRAVEL
298,CALCULATION,CLOTH
299,DISPUTED,ERRONEOUS
300,PodD,arteritis
301,ANALYSES,SUBSIDIZED
302,FROM,WITH
303,Lindane,phosphate
304,Deviced/Freeboard,Ratio
305,Ch~ef,Rad~o
306,DEPLOYED,SECURE
307,DRUNK/DISORDERLY,SELF
308,PARTNERSHIP,WHO
309,DISOBEY,SODOMY
310,DISTRICTS,NON-RECORD
311,BY,WITH
312,EXPORT,SHIP
313,EXPOSURE,OVER-THE-COUNTER
314,CATALOGING,CLEANING
315,RAF,stretching
316,BE,OPEN
317,EXPENSE,THEFT
318,herring,sardines
319,nerve,optic
320,LIFE,SCHOOL
321,DANGEROUS,INTENT
322,CONVERSlON,COWERSION
323,Lippincot,Product_
324,FREQUENT,_____ROUTINE
325,Splicing,ihle
326,Arabic-Syrian,TPKE
327,//www.dtic.mil/whs/directives/,/ResponseDescriptionText
328,EMPLOYEE,SETTLEMENT
329,Amph,Multipurpose
330,Securely,Sensory
331,SYMBOLS,WOOLEN
332,cannabinoids,cigars
333,//iase.disa.mil/,Cinematography
334,SUPPORTING,TECHNICAL
335,Baltimore,Charles
336,Shims,rman
337,carvings,hemic
338,ATTENDANTS,DILIGENCE
339,OPERATION,PAYMENT
340,Deposition,Lids
341,Cohabitation,Line-of-Duty
342,Raptor,Samaritan
343,Climates,Govcmor
344,AUTHORS,RECORD-KEEPING
345,Gasoline,Spot
346,INTERIOR,THEIR
347,//iase.disa.mil/,Landfill
348,Cryphgraphic,Helper
349,EXPERIENCE,FINAL
350,..Pair,PREGNANT
351,DFS,LJP
352,carvings,graves
353,REMARKS/,VESSEL
354,UUnbarricaded,culverting
355,Code/Pay,GXQS
356,Unburned,Wastewaster/scrubwater
357,Entomology,HF
358,dissecting,sabots
359,Refrigeration,Royal
360,Non-OSD,Stillborn
361,Muir,Takai
362,ENDORSEMENT,NAMEa
363,Angeles,Sacramento
364,DJ,UE
365,Influenza,Pandemic
366,Lt,Maj
367,Beech,USAMICOM
368,APHs,Roof
369,EXtensible,VERTEBRATE
370,Cream,Ivory
371,ACCESS,CRITERIA
372,COUNSELING,PRODUCTION
373,SALES,UNITS
374,Computer-to-Computer,Pull-tab
375,Seminole,aerodynamically
376,PROHIBITED,PROVIDERS
377,indene,pyrrole
378,antifreeze,tomatoes
379,Blvd,Harbor
380,INTERCHANGEABLE,SUBSTITUTABLE
381,Ancient,biblical
382,Grinder,Monetary-
383,DENIAL,REMEDIATION
384,Datacontains,Extender
385,DEFECTIVE,THEIR
386,Gaseous,Liquefied
387,Facsimile,ZHA
388,COMPUTERS,TRANSFERABILITY
389,Desecration,blowing
390,KY,UT
391,nrit,ra
392,INTERACTION,TRANSPORTABILITY
393,CONTAINERS,PLANS
394,AUTHORIZED,COMMISSARY
395,Journalism,unite
396,Hq,Mississippi
397,ELECTING,POSTHUMOUS
398,heavy-duty,radium
399,Kathleen,Stephanie
400,CONTROL,FILES
401,BASELINE,MEASUREMENT
402,//jitc.fhu.disa.mil/cgi/icpsite/pubs.aspx,//www.nwi.fws.gov/
403,Landover,Rockville
404,CHANGED,DRUNK
405,MONEY,SUBSTANTIALLY
406,BASELINE,COMPREHENSIVE
407,IUXUU,echn~c~an
408,MEXICO,millirem
409,Forks,Youngstown
410,ABDOMINAL,GASTROINTESTINAL
411,INVESTMENT,TODDLERS
412,MORALE,STORES
413,ARIA,Stratoliner
414,EL,Romania
415,GBR/DISPLAY,VENTILATION
416,Astrophysics,Visayan
417,ACCIDENT,RESPECTIVELY
418,Cote,Nova
419,NON-OPERATING,SYSTEMIC
420,ACTIVATION,PACKAGES
421,HANDLING,PROCUREMENT
422,Electroneurodiagnostic/,Tokelauan
423,Bellmawr,Squadron/Global
424,FSCS,NON-QRP
425,Trader,inertially
426,ALBUQUERQUE,sadistic
427,BONUSES,ENVIRONMENT
428,MARKINGS,MATERIAL
429,Unadjusted,ectodermal
430,Frvrol,Ycur
431,RECRUITMENT,TREATMENT
432,GRANT,NEAR
433,Ops,Overdue
434,CADETS,NEWSPAPERS
435,ASSUMPTIONS,SELECT
436,ELECTIONS,STAGE
437,ACHIEVEMENT,MERITORIOUS
438,Brain,Traumatic
439,MARKINGS,PERSONAL
440,AMTs,herring
441,PRE-SEPARATION/TRANSITION,SOLVENT
442,Command-Sponsored,Non
443,Oiiicer,lntermed~ate
444,sil,vous
445,Delivery*,SUITE
446,Knee,Self-localization
447,Rymer,Vaporc
448,BONUSES,IMMEDIATELY
449,Deposition,Piers
450,Los,Tape
451,Harpoon,Tomahawk
452,C.H,Liss
453,cerebellum,ganglia
454,Literacy,USSOCOM-specific
455,Semitic,ornamental
456,MAIL,POSTAL
457,Watercraft,perchlorates
458,JURY,LEWD
459,TEXTILE,THEIR
460,BUDGETING,ENDOCRINE
461,MacDill,Ohio
462,COMMODITY,OPERATING
463,Michael,R.
464,MADE,TAKE
465,fluidized,pyrolysis/combustion
466,Pre-,iced
467,CONTACT,FRAUD
468,Title/Organization,WLS
469,ENLISTMENT,INTERROGATIONS
470,Angeles,SEY
471,Elevatcd,Syslein
472,ab,ak
473,Cooling,Transmissions
474,Granulomatous,Ulcerative
475,OTS,Sudan
476,HURRICANE,Retirement-Optional
477,CONGRESSIONAL,VALOR
478,keloidalis,nuchae
479,FORCES,IN
480,ENTREES,STARCHES
481,amphetamines,assays
482,Falcon,Maverick
483,Drycleaning,squash
484,Angeles,Yokota
485,Kansas,TX
486,Marino,Portugal
487,EvalASW,head-operated
488,Nigeria,staplers
489,patriotism,solid-propellant
490,INVESTIGATIONS,PROTECTION
491,Wilkins,ance
492,MISHAPS,PARKING
493,Qatar,Strait
494,andi,aunch~ng
495,Azerbaijani,Beale
496,AAH=Left,Mll~gry
497,OBSCENE,PEAK
498,CERTAIN,PLACE
499,air-to-surface,hard-target
500,ADVERSE,FUND
501,Avoir,Thieves
502,Fillmore,Millard
503,FLEXIBILITIES,Intermediate-level
504,bm,bp
505,Conjunctiva,SRs
506,MN,RAF
507,I=Individual,OFFENSE_TYPE
508,non-woven,rag
509,COHABITATION,DISRESPECT
510,Astro,Periscope
511,afpc.casualty,cocopns
512,Cathode,Unanswered
513,KAZ,grazing
514,PESTS,PYLONS
515,Bicycle,skate
516,PREVENTIVE,TRAVELER
517,HISTORICAL,RELATIONS
518,Sub-Saharan,rsonnel
519,VS,Viet-nam
520,hqda.army.mil,policy.list.civil-support
521,SEVERITY,TOTAL
522,esophagus,nutcracker
523,LAST,PERMANENTLY
524,breech,reels
525,AIRMAIL,UNCLAIMED
526,-FRS,~slc
527,Mlshle,ZHO
528,LOADED,REMAINING
529,anhydride,cathode
530,LIGHT,UTILITY
531,FRAUDULENT,JURY
532,LEARNING,TOOLS
533,Firebee,Sustainer
534,OpenFocusWindow,javascript
535,SURPRISE,Sponge
536,ENHANCED,GROSS
537,POSITIONING,SPECTRUM
538,OPTIMIZATION,UNCLAIMED
539,Dicsel,Engjne
540,gonadal,murder
541,Propellant,Resonance
542,disparaging,scapegoating
543,DISPOSITIONS,JUSTIFICATION
544,SU,___________________________________________
545,AVOID,FAILURE
546,corrodes,fuming
547,rock,transparencies
548,Conseil,Sport
549,CONCEPT,UNUSED
550,DETAIL,HARASSMENT
551,HCFC,Los
552,Anti-Physical,BA=Anti-Mental
553,Arabs,baking
554,PANDERING,SHIP
555,blinds,greasing
556,Baking,arts/baker/
557,MODE,SPILL
558,cables,heavy-duty
559,cabbage,carrots
560,DRUG,OVERSEAS
561,MEMORANDUM,METHOD
562,UQ,UX
563,Reseive,S~rgeant
564,Mississippi,Tacoma
565,Shoppette,Store/Doctors
566,//www.acq.osd.mil/ie/,//www.dispositionservices.dla.mil/sales/typesale.shtml
567,REFUSE,UTILITY
568,ceramics,rinks
569,HISTORICAL,POTENTIALLY
570,bulldozers,dump
571,Methyl,turrets
572,Annunciation,Freshwater
573,AD=Parent,AG=Grandparent
574,Guinea-Bissau,Sri
575,N.E.,cruelty
576,crevices,hemic
577,Telluride,catheters
578,CAPITALIZATION,DISQUALIFYING
579,navy.mil,pentagon.af.mil
580,bucket,theater-
581,NON-DOD,UPPER
582,EXAMINERS,NAVIGATION
583,Corrcl,cer
584,COUNT,DECLARATIONS
585,ExecSec-signed,multi-memos
586,Lt,husbands
587,AOR-SPECIFIC,LAPEL
588,BOARDS,GROUPS
589,recoilless,rock
590,USDI.Pubs,auditnet
591,ACCESSION,UPON
592,DISCHARGE,PRESIDENTIAL
593,CARRIER,IDLING
594,Genetron,Monochlorodifluoroethane
595,PROCESSING,SAFEGUARDS
596,Giles,Lynne
597,Islam,Phantom
598,BRN,Brook
599,NAU,reduced-smoke
600,LAST,MAY
601,peened,pinned
602,Arsenic,hollow
603,//www.cnpp.usda.gov/dietary-guidelines,fender
604,Imaging,Molecules
605,Memphis,WA
606,DISSEMINATION,RESTORATION
607,DOD-CONDUCTED,EXPOSURE
608,SUSPECTED,VALUE
609,bi,bs
610,COMMIT/ATTEMPT,UTTERING
611,handcuffing,taping
612,DAMAGE,DEFRAUD
613,Apr,Jan
614,Azerbaijani,Jorge
615,Recompression,chamber/hyperbaric
616,ROCKETS,WIRE
617,Holes,epidermolysis
618,ESTECHSUPPORT,dodfleetcard
619,dinitrotoluene,ePMS
620,Arizona,WV
621,Caribou,Seminole
622,COMPLIANCE,STRUCTURE
623,LIMITATIONS,RECORDING
624,junk,ruthenium
625,/UserId,AppID
626,Chassis,Non-postal
627,ADJUSTED,BY
628,EKLISTED,Malntenance
629,TRIDENT,lzc~r~cal
630,Camaroons,llull
631,Sever,fir
632,JUSTIFICATION,MOBILIZATION
633,ADJUSTMENT,RETAIL
634,BEST,RETURNS
635,COMPLEX,CREATED
636,Vinyl,monomer
637,YAO,Yao
638,C=U.S,D=U.S
639,Bakery,Transporters
640,NEAR,PAPER
641,APPROPRIATE,FUTURE
642,HAVE,INVOLVE
643,FUNDS,REMEDIATION
644,Mamtenance,Otilcer
645,LEAD,PRIMARY
646,Estonia,Spain
647,EL,FIGHTER
648,Warren,hats
649,CONTENT,REMEDIATION
650,-ENLISTED,INTERSTATE
651,Heavy,Jose
652,ZigBee,hydroquinones
653,donts,dos
654,av,bv
655,ABOARD,CONSOLIDATED
656,CrewMission,Danlos
657,DETAINEE,REINSTATEMENT
658,ALTERNATIVE,VALIDATION
659,DETAINEE,PERSONS
660,DISASTERS,SHIPPING
661,LAW,MAIL
662,REMOVED,RESULTING
663,INTERAGENCY,RESEARCH
664,APPROPRIATE,IMMEDIATELY
665,Creator,Subsisted
666,Hexachlorocyclopentadiene,non-transient
667,Plumber,Robbing
668,DETERMINATION,REVIEW
669,PROTECT,REGISTERED
670,AW=Restricted,AX=Correctional
671,*d,chlorates
672,COMBUSTION,TRAVELER
673,Bull,Otter
674,ARE,EMPLOYEE
675,MN,UE
676,Carpenters,sawmill
677,Trim,Turbojet
678,Ferrous,tetrahydro-
679,AIRDROP,NON-DEPLOYABLE
680,Norquist,Stanley
681,CONSERVATION,REHABILITATION
682,Indentation,Taxability
683,COURT,PACKAGES
684,EVENTS,REVIEWS
685,RULE,WAGE
686,LOADED,POCKET
687,BUDGETING,GASTROINTESTINAL
688,Accelerated,Argus
689,Morocco,Namibia
690,Estonia,Greece
691,Microfiche,Shut-Down
692,MINES,WAX
693,Creator,G.M
694,INVENTORY,MATERIEL
695,ATTEMPT,GUIDONS
696,DISCHARGES,TRACEABILITY
697,IMMINENT-,SLOW
698,PESTICIDES,SHIPS
699,BARRICADED,Troy
700,COCOM-owned,nasal
701,NON-,SECURITIES
702,KPG,inhalational
703,Boulevard,Nevada
704,FREEDOMs,TJ
705,Agitation,nitrators
706,Colorado,Sam
707,BOOSTERS,LEGISLATIVE
708,Digitally,Franc
709,AGENTS,ECONOMY
710,HcI,copter
711,Shp,topsoil
712,CERTAIN,LOANS
713,BN,Polychlorinated
714,BARRIER,POWERS
715,DECLARATIONS,MECHANISM
716,Chlorinated,lintless
717,ADDITIONAL,QUALITY
718,COMBUSTION,TRUSTED
719,FQ,WQ
720,LOCATIONS,RETURNS
721,IMPORT/EXPORT,SLAVERY
722,COORDINATIONS,Lubrication
723,crock,ulceration
724,holograms,rugate
725,campaign-plan,operational-plan
726,COTTON,REVISIONS
727,Jehovahs,Violator
728,Manganese,Ore
729,PLEURA,WALL
730,Indian/Native,Nauru
731,Frank,Matthew
732,Domains,Gallinas
733,Wallis,relics
734,SYMBOL,THREE
735,FORMATION,MITIGATING
736,Lundy,cio.mbx.domain-applications
737,Iroquois,Ryan
738,LISTING,POPULAR
739,BICYCLES,PEDESTRIANS
740,Buckley,NAN
741,IL,Jefferson
742,COTTON,STARCHES
743,ESACCS,PRIVATIZATION
744,DISCHARGE,ORDER
745,Naphthoylindole,Nepal
746,CONSOLIDATED,FIXED
747,SIGNATORY,WHITE
748,Thick,non-benign
749,ASSIGNED,COMMITTEE
750,Lobby,Tilt
751,ARRANGE/RECEIVE,SEXUALLY
752,ECCLESIASTICAL,WHITE
753,Pkwy,submunition
754,ETHICS,ORDERED
755,COPIM,lnee~ng
756,COMPLETING,RECIPROCAL
757,DESCRIPTIONS,PREVENTION
758,I=Indeterminate,U=Unknown
759,Swarm,Weeds
760,ENCRYPTION,NOTIFYING
761,Cyanogen,Ethyl
762,blouses,jackets
763,Constructionman,V-
764,Hexachlorocyclopentadiene,ORGANICS
765,Rcpdir,low-wing
766,Liberia,Sinuses
767,Twin,dual-pilot
768,Cytogenetics,Immunohematology
769,pseudohermaphroditism,thickener
770,DUE,FEDERAL
771,DEPOT,WINDOWS
772,DISTANCE,THROW
773,Fredericksburg,Gunston
774,Motors,Triner
775,Infantry,Sprite
776,EXTREMITY,POST-TRIAL
777,COVVERSION,FOLLOWED
778,carboxylic,naphthalene
779,JURY,MAKE/DELIVER/RECEIVE
780,LUNG,SUBSIDIZED
781,JUSTIFIABLE,UNLAWFUL
782,Charles,Clarke
783,FOREIGN-BORN,REVIEWING
784,Easily,naphthalene
785,COMPLETE,RECOMMENDED
786,ARMED,FORCES
787,EFFECTS,INSUFFICIENT
788,DEBRIEFED,SUBSIDIZED
789,HISTORICAL,SUBMITTED
790,Uranyl,sulfate
791,Bqulpmcnt,lnfomatlon
792,DEFENSES,SIMILAR
793,Fokker,Tupi
794,Advent,Missouri
795,bagpiper,farming
796,Aolele,bromodichloromethane
797,EVASION,LAUNCHERS
798,GCWBBS,monoculars
799,NATURAL,RESEARCH
800,//www.acq.osd.mil/ie/,//www.census.gov/geo/reference/codes/cou.html
801,FCLS,PROGRAMMATICS
802,OVERSEAS,UNIT
803,CARRIER,UNLAWFUL
804,bg,bi
805,Ethiopia,Spain
806,DEFRAUD,PRESENT
807,intaglios,nitrobenzene
808,CONTROLS,DEVIATIONS
809,Intensive,Intractable
810,DISEASES,OCCURRING
811,Portsmouth,Warrenton
812,chlorates,dikes
813,Rheumatology,therapy/therapist
814,Pastaza,Wyoming
815,bromide,wipers
816,Degrcc,Turboshati
817,amphetamines,lithographs
818,Friden,X-
819,Oils,whales
820,Copilot,EWO
821,Ship-launched,Stallion
822,KA,Opioids
823,Apartments,CAUTION
824,DRIVEN,FACULTY
825,anti-tank,rinks
826,Scratching,benzo
827,CMDR,MG
828,Ft,Orange
829,CEREMONIES,FEES
830,Water-Soluble,magneto
831,Bank/Finance,office/Disbursing
832,Ethyl,Mercuric
833,IMPROPER,SEXUAL
834,Ave.,Portugal
835,COMPLETION,DELAY
836,BEEN,PRESENT
837,CONTROLS,STORAGE
838,DISCIPLINARY,OPERATORS
839,ALLOW,MUTINY
840,James,P.
841,CERTIFICATIONS,ENTERING
842,RESPONSIBLE,TRADE
843,RETURNS,SUSPENSE
844,FACILITIES,SHELF-LIFE
845,Infdnlryman,Rat
846,DECLARATIONS,PECULIAR
847,FATS,PMPARS
848,JUSTIFICATION,SENTENCES
849,Subcategory,Upper
850,CML,Sir/Madam
851,DISCOVERY,JUICES
852,Vandalized,biologists
853,DATA-N,arsenate
854,CONSULTANT,U=
855,Fare,polyposis
856,ARTERY,paradichlorobenzenes
857,DUTIES,PRINCIPLES
858,cheese,sour
859,NGA.mil,usmc.mil
860,Robbing,orchard
861,FIGHTER,NJ
862,Eritrea,Latvia
863,Osgood-Schlatter,tibial
864,Czech,Hungary
865,Parent-by-Adoption,arteritis
866,BASELINE,CHECK
867,DETAINED,FACULTY
868,MARKING,PROCUREMENT
869,backhoe,requirements-based
870,ND,Shaw
871,HOW,WHERE
872,Belting,LTV
873,DEFECTIVE,PLEA
874,MANAGE,ORDNANCE
875,ag,ah
876,HG,Walla
877,Minnesota,VIPPSA
878,CONSTRUCTION,LEVELS
879,LABELS,MEMORIAL
880,BLOOD,PARCEL
881,bromine,bulldozers
882,OFF,TOUR
883,Hepatic-Biliary,Trucked
884,organizations/service,submunition
885,Dyne,MERCURY
886,Adjuvants,Pressurized
887,CCE,erythrocyte
888,Injector,Repaw
889,PAROLE,SUPERVISED
890,Harrier,Tomahawk
891,COURT,FACTOR
892,FOUNTAIN,SERIOUS
893,BOATS,HAND
894,CREDITS,ELECTION
895,TACTICOMM,fins
896,PRIMARY,VALOR
897,candy,geometry
898,OVERSEAS,PERSONAL
899,heavy-duty,sacks
900,LICENSE,MAXIMUM
901,AMERICAN,SUBMITTED
902,DEFENSIVE,HARBOR
903,CAMPAIGN,PLAIN
904,PASSENGER,PROCEDURAL
905,BUYING,UNIFIED
906,PRE-SEPARATION,RENDERED
907,paintings,protectorates
908,SPOUSE,TOUR
909,CONFIDENTIALITY,POSSESSION
910,RDX,refurbishment
911,ALCOHOL,DISCRIMINATION
912,DOD-ORIGINATED,SOLVENT
913,POTENTIALLY,SIGNIFICANT
914,Ferry,Post-Cost
915,PACKAGING,THREATS
916,TCY,Xhosa
917,Hawk,Sidewinder
918,Habomai,nitrobenzene
919,IMPACT,WHICH
920,asphalt,propeller
921,AGAINST,SEXUAL
922,EXCLUDES,INTERPRETATIONS
923,butts,corn
924,Bell,Hughes
925,Elenmnlc,technology/perfusionist
926,Bluff,NAVSUPPACT
927,blood/bone,secretions
928,EhLlSTED,UNLAWFUL
929,Trichlorodifluoropropane,starved-air
930,AB=Child,AC=Sibling
931,LINE,TOTAL
932,Regulus,Rwanda
933,Cyprus,Moldova
934,DUTY,LIAISONS
935,bm,bv
936,Walls,tea
937,Construdlon,Transmitter
938,BUM,Lompoc-Low
939,COMPETENCY,REENLISTMENT
940,FRIENDLY,RECORDINGS
941,*Regulated,No*
942,ADDITIVES,CURRICULUM
943,MISCONDUCT,OFFENSE
944,Paragraphs,paragraphs
945,Fa~rbanks,Techn~c~an
946,Anorectal,Cryptography
947,four/thirty,twenty
948,Chloroform,fluoborate
949,CARRIER,COMBUSTION
950,Suffix,tartrate
951,Rejects,Spot
952,Frederick,Houston
953,AJ=Subject/Suicide,drillers
954,atheists,washers/dryers
955,NEVER,PERMANENTLY
956,Athletics,Tents
957,grille,strobe
958,Ammonium,p-Chloroaniline
