,hyponym,hypernym,proposed_label
66,selective placement factor,the request for the certification,0.0
67,name of nominee,the request for the certification,0.0
68,selective placement factor,the request for a certificate of eligible candidate,0.0
69,organizational entity,the scope of competition for rif purpose,0.0
70,program management,pentagon reservation parking policy,2.0
71,parking infraction control measure,pentagon reservation parking policy,2.0
72,issue resolution,pentagon reservation parking policy,0.0
73,the presence of unfamiliar personnel,ity,2.0
74,those individual,car pool,0.0
75,those individual,the van or car pool principal member,0.0
76,law enforcement activity,firearm to federal agency,0.0
77,individual,individual,1.0
78,any foreign national state local and municipal government,any unit of a foreign governmental authority,0.0
79,individual,individual,1.0
80,the datum entry,education of the acquisition workforce,0.0
81,regulatory compliance,a review of matter,0.0
82,management of the acquisition information system,a review of matter,0.0
83,a review of matter,the evaluation process,0.0
84,the accuracy,management of the acquisition information system,0.0
85,certificate,documentation,1.0
86,fulfillment,documentation,1.0
87,a review of the individual qualification,2 selection for membership in the defense acquisition corps,0.0
88,fr document,various non rulemaking activity,0.0
89,a meeting,information of public interest,0.0
90,the certification and impact analysis,documentation,1.0
91,any personal identifier,change,0.0
92,contact information,change,2.0
93,rule,this category,0.0
94,a federal mandate,it,0.0
95,privacy act system of records notices,notice,0.0
96,paperwork,notice,0.0
97,area code,name and telephone number,0.0
98,agency sign,renovate public space in the pentagon,0.0
99,paypal,the use of third party payment service,0.0
100,billpoint,the use of third party payment service,0.0
101,a 24,a specific organization,0.0
102,ethic law,directive,2.0
103,regulation,directive,2.0
104,directive,directive,2.0
105,vendor,dealing with all party,0.0
106,pfpa,week,2.0
107,the whs,week,2.0
108,metro fare,individual official travel relate expense,0.0
109,taxi fare,individual official travel relate expense,0.0
110,bus fare,individual official travel relate expense,0.0
111,automate toll tool,individual official travel relate expense,0.0
112,parking fee,individual official travel relate expense,0.0
114,food,emergency preparedness,2.0
115,water,emergency preparedness,2.0
116,rms,all stakeholder in the program,0.0
117,logistic,all stakeholder in the program,0.0
118,contracting,all stakeholder in the program,0.0
119,local audit,all stakeholder in the program,0.0
120,oversight organization,all stakeholder in the program,0.0
121,paypal,the use of third party payment service,0.0
122,billpoint,the use of third party payment service,0.0
123,backup documentation for online and telephone order,all original order receipt,0.0
125,typewriter,all serialize equipment,0.0
126,copier,all serialize equipment,0.0
127,the adr process of mediation,the major service of the adr program,0.0
128,facilitation,the major service of the adr program,0.0
129,the mediator,the participant,0.0
130,the mediator,the participant,0.0
131,the equal employment opportunity commission,any forum,2.0
132,the merit systems protection board,any forum,2.0
133,the office of special counsel,any forum,0.0
134,any administrative agency,any forum,0.0
135,court of law,any forum,2.0
136,write in response,response give on the survey,0.0
137,recommendation to management on step,the report,0.0
138,weekend,a month,0.0
139,holiday,a month,0.0
140,denial of expedited processing,an administrative decision,0.0
141,a fee waiver,an administrative decision,0.0
143,the foid appeals office,an administrative decision,0.0
144,a member,a person,0.0
145,fire alarm,dod components to emergency condition by various mean,0.0
146,computer emergency notification system,dod components to emergency condition by various mean,0.0
147,public address system,dod components to emergency condition by various mean,0.0
148,pentagon police directorate,dod components to emergency condition by various mean,0.0
149,ppd,dod components to emergency condition by various mean,0.0
150,a conference room,a control area,0.0
151,another assign area with control access,a control area,0.0
152,lease building,all contract for the use of facility,0.0
153,hotel for training program,all contract for the use of facility,0.0
154,conference,all contract for the use of facility,0.0
155,cost,transportation cost,0.0
156,information technology,telework procedure,0.0
157,data security and safety requirement,telework procedure,0.0
158,an infectious disease health crisis,crisis,0.0
159,snow emergency,adverse weather condition,2.0
160,flood,adverse weather condition,2.0
162,a pandemic health crisis evacuation,a safe haven during an emergency,0.0
163,the supervisor,a safe haven during an emergency,2.0
164,telework as a result of inclement weather,examples of situational telework,0.0
165,doctor appointment,examples of situational telework,0.0
166,cost,transportation cost,0.0
167,information technology,telework procedure,0.0
168,data security and safety requirement,telework procedure,0.0
169,an infectious disease health crisis,crisis,0.0
170,educational requirement,continuous learning,0.0
172,snow emergency,adverse weather condition,2.0
173,flood,adverse weather condition,2.0
174,hurricane,adverse weather condition,2.0
176,home maintenance,personal residence as the alternative worksite,0.0
177,insurance,personal residence as the alternative worksite,0.0
178,utility,personal residence as the alternative worksite,0.0
179,e,personal residence as the alternative worksite,0.0
180,a pandemic health crisis evacuation,a safe haven during an emergency,0.0
181,the supervisor,a safe haven during an emergency,2.0
182,telework as a result of inclement weather,example of situational telework,0.0
183,doctor appointment,example of situational telework,0.0
184,special work assignment,example of situational telework,0.0
185,occupational and environmental health surveillance,it,0.0
186,medical surveillance,it,0.0
187,removal,the full range of disciplinary or adverse action,0.0
189,a description of the work requirement,2 justification of the change,0.0
190,an explanation,2 justification of the change,0.0
192,core hour,a basic work requirement of 80 hour,0.0
193,prototype,program,2.0
194,the time,time in a travel status,0.0
195,an employee,time in a travel status,0.0
196,both flexible and compressed work schedule,aws,2.0
197,a foreman,any individual,0.0
198,a supervisor,any individual,0.0
199,any applicable locality payment,an employee for overtime pay purpose,0.0
200,special rate supplement,an employee for overtime pay purpose,1.0
201,justification,service agency,0.0
202,proper security clearance,order,0.0
203,financial disclosure document,order,0.0
204,basis,any unlawful basis,2.0
205,disabled veteran,people with disability,2.0
206,their being,legitimate reason,0.0
207,security clearance,any requirement,0.0
208,drug testing,any requirement,0.0
209,overtime,any requirement,2.0
210,the appropriate level of personnel security clearance,an historical researcher,0.0
211,accession and box number,the location of the request record,0.0
212,the accession and box number,an explicit description,0.0
213,the retention,any decision of the review official in the interest of the security of the united states,0.0
215,manuscript,any decision of the review official in the interest of the security of the united states,0.0
216,the level of clearance,a security clearance,0.0
217,the name of the issue agency,a security clearance,0.0
218,handheld document scanner,5 computer peripheral,0.0
219,digital or analog camera,5 computer peripheral,0.0
220,information,characteristic,0.0
221,all record information,the term record,1.0
222,digital color quality,provide printing and reproduction service,0.0
223,letterhead,print service,2.0
224,security,these consideration,0.0
225,copyright,these consideration,0.0
226,proprietary right,these consideration,0.0
227,literary dramatic musical artistic and intellectual work,original work of authorship,0.0
228,request for absence during peak vacation,unique circumstance,0.0
229,holiday period,unique circumstance,0.0
230,period of heavy workload,unique circumstance,0.0
231,a general statement,the serious health condition,0.0
232,an individual in a sex or common law marriage,this definition,0.0
233,full time nonappropriated employee,civilian employee,2.0
234,a complete trail of all transaction,the record of a property accountability system,0.0
235,sensitive and pilferable item,theft,2.0
236,specific characteristic,that record,1.0
237,identification,that record,0.0
238,the assessment,procedure,0.0
239,a complete trail of all transaction,the record of a property accountability system,0.0
240,rental and lease agreement,any enforceable agreement,0.0
241,remedial or disciplinary action,change,2.0
242,counselor,the eeop staff,0.0
243,investigator,the eeop staff,0.0
244,those advisory committee,the dod,0.0
246,classification,additional information,1.0
247,statement of work,subject,0.0
248,deliverable,subject,0.0
249,invoice,subject,0.0
250,the separation of personnel,a file to an inactive status,0.0
251,a final contract payment,a file to an inactive status,0.0
252,project completion,a file to an inactive status,0.0
253,approval,e,0.0
254,substantive annotation,unique information,0.0
255,comment,unique information,0.0
256,a social security number,a number,0.0
257,purchase order,a number,1.0
258,requisition,a number,0.0
259,region,a geographical location,0.0
260,country,a geographical location,0.0
261,contract file,an alphabetical numeric arrangement,1.0
262,stencil,reproduction material,2.0
263,the beginning of a month,the second folder at a logical point,0.0
264,a calendar quarter,the second folder at a logical point,0.0
265,report of inspection of two organization,3 document on the subject on transaction,0.0
266,delete,a flexible retention period,0.0
267,audit,an action,0.0
268,final payment,an action,1.0
269,completion of a project,an action,0.0
270,fire,destruction,2.0
271,information security personnel,individual with knowledge of the relevant computer system,0.0
272,type of record information,a complete description of the file,0.0
273,outside business pursuit,private affair,0.0
274,professional affiliation,private affair,0.0
275,personal social event,private affair,0.0
277,community service,private affair,0.0
278,a presidential library,declassify non record material for the purpose of historical retention to a government repository,0.0
279,approval,official purpose,1.0
280,word processing,office software,0.0
281,desktop publishing,office software,0.0
282,spreadsheet,office software,0.0
283,database,office software,0.0
284,file,office software,0.0
285,wiki,example,0.0
286,blog,example,0.0
287,sns like facebook,example,0.0
288,myspace,example,0.0
289,twitter,example,0.0
290,linkedin,example,0.0
291,draft document,an organization,0.0
292,cutoff,schedule,0.0
293,disposal,schedule,0.0
294,instruction,schedule,0.0
295,social medium,collaborative tool,2.0
296,wiki,1 application,0.0
297,blog,1 application,0.0
298,instant messaging service,1 application,0.0
299,collaborative tool,1 application,0.0
300,audit trail,control,2.0
301,the file name of the starting page,c url of the web site,0.0
302,the removal of fastener,physical processing,2.0
303,extra copy of speech,obsolete reference material,2.0
304,historical researcher,an assign service member of the military services,0.0
305,presidential appointee,an assign service member of the military services,2.0
306,poster,graphic art,2.0
307,original art,graphic art,0.0
308,motion picture,graphic art,2.0
309,video recording,graphic art,2.0
310,audio,graphic art,2.0
311,sound recording,graphic art,2.0
312,microform,graphic art,2.0
313,related record,graphic art,2.0
314,worksheet,support file,0.0
316,rough note,support file,0.0
317,calculation,support file,0.0
318,the military departments,an organizational entity of the department of defense,0.0
319,the chairman of the joint chiefs of staff,an organizational entity of the department of defense,0.0
320,the combatant commands,an organizational entity of the department of defense,0.0
321,the office of the inspector general of the department of defense,an organizational entity of the department of defense,0.0
322,the defense agencies,an organizational entity of the department of defense,0.0
323,dod field activities,an organizational entity of the department of defense,0.0
324,a folder,a unit,0.0
325,a preservation or court order,special circumstance,0.0
326,civilian personnel,these series,0.0
327,payroll record,these series,0.0
328,procurement,these series,1.0
329,budget,these series,0.0
330,travel,these series,0.0
331,microfilm on reel,roll microform,2.0
333,cassette,roll microform,2.0
334,microfilm jacket,flat microfilm,2.0
335,aperture card,flat microfilm,2.0
336,micro,flat microfilm,2.0
337,all record information,the term record,1.0
338,all traditional form of record,the term record information,1.0
339,information,characteristic,0.0
340,rough note,document,0.0
341,calculation,document,0.0
342,draft,document,1.0
343,the following,example,2.0
344,the following,example,2.0
345,fundraising event,logistical support for event,0.0
346,law enforcement activity,federal agencies,0.0
347,facility,adequate resource,0.0
348,minor construction,adequate resource,0.0
349,milk,the require meal component,0.0
350,the transportation of usda commodity,the dod student meal program,2.0
351,meal price determination,supervisory and administrative function,2.0
352,an exchange snack bar,a joint facility,0.0
353,an officer club,a joint facility,0.0
354,a noncommissioned officer club,a joint facility,0.0
356,income taxis,deduction,2.0
357,employee social security taxis,deduction,2.0
358,the following,it,0.0
359,wage,monetary compensation for service,2.0
360,salary,monetary compensation for service,2.0
361,commission,monetary compensation for service,2.0
362,technical assistance,federal personnel,0.0
363,mental retardation,any mental or psychological disorder,2.0
364,organic brain syndrome,any mental or psychological disorder,2.0
365,emotional or mental illness,any mental or psychological disorder,2.0
366,specific learning disability,any mental or psychological disorder,2.0
367,speech organ,respiratory,2.0
368,disease,the term,0.0
369,condition,the term,0.0
370,any successor,another recipient,0.0
371,assignee,another recipient,0.0
372,apprenticeship,financial support for training,0.0
373,teletypewriters,tdds,2.0
374,telephone writers,tdds,2.0
375,reader,assignment of aide to beneficiary,0.0
376,certify sign,assignment of aide to beneficiary,0.0
377,historic ship,a listing of all historic property,0.0
378,the following,this requirement,0.0
380,telecommunication,device,2.0
381,telephonic instrument,device,2.0
382,the name of the program,the supplementary guideline,0.0
383,direction,procedure,0.0
384,finding of fact,the result of the review,0.0
385,poster,procedure,0.0
386,device,procedure,0.0
387,technical assistance,federal personnel,0.0
388,counseling,federal personnel,0.0
389,training,federal personnel,0.0
390,provision of statistical or expert information,federal personnel,0.0
391,mental retardation,any mental or psychological disorder,2.0
393,emotional or mental illness,any mental or psychological disorder,2.0
394,speech organ,respiratory,2.0
395,any successor,another recipient,0.0
396,assignee,another recipient,0.0
397,transferee of a recipient,another recipient,0.0
398,person,the term,0.0
399,entity,the term,0.0
400,certify sign language interpreter,the absence of auxiliary aid,0.0
401,telecommunicati e3,the absence of auxiliary aid,0.0
402,apprenticeship,training,0.0
403,professional meeting,training,0.0
404,conference,training,0.0
405,related activity,training,0.0
406,relationship with employment and referral agency labor union organization,this section,0.0
407,teletypewriters,tdds,2.0
408,telephone writers,tdds,2.0
409,telecommunication,of equipment,0.0
411,reader,to beneficiary,0.0
412,certify sign language interpreter,to beneficiary,0.0
413,historic ship,a listing of all historic property,0.0
414,training museum staff,person by mean,0.0
416,telecommunication,device,2.0
417,telephonic instrument,device,2.0
418,the number of employee,activity,1.0
419,number,activity,1.0
420,type of facility,activity,1.0
421,size of budget,activity,1.0
422,the name of the program,the supplementary guideline,0.0
423,activity,the supplementary guideline,0.0
424,the authorize statute,the supplementary guideline,0.0
425,regulation,the supplementary guideline,0.0
426,directive for each program,the supplementary guideline,0.0
427,activity,the supplementary guideline,0.0
428,handicapped person,a self evaluation with the assistance of interested person,0.0
429,organization,a self evaluation with the assistance of interested person,0.0
430,direction,procedure,0.0
431,finding of fact,the result of the review,0.0
432,recommendation,the result of the review,0.0
433,poster,procedure,0.0
434,device,procedure,0.0
435,the addition of language,reference for accuracy,0.0
436,sexual,harassment,0.0
437,harassment,harassment,2.0
438,unlawful discrimination on the basis of race,harassment,2.0
439,color,harassment,2.0
440,status as a parent,executive order,0.0
441,harassment in the workforce,applicant for employment,0.0
442,funding,resource,1.0
443,force structure,resource,2.0
444,human systems integration,part of program,0.0
445,fiscal policy,that policy,2.0
446,time phase wartime requirement,contract equivalent,0.0
447,the national civilian community corps,the special category non applicant,0.0
448,federal bureau,the special category non applicant,2.0
449,the special category non applicant,medical and aptitude testing support to federal agency,0.0
450,their request personal participation,the cjcs,0.0
451,arrival,ncr joa,2.0
452,repose,ncr joa,2.0
453,the main funeral procession,ncr joa,2.0
454,funeral service,interment joa,0.0
455,repose,interment joa,2.0
456,final disposition,interment joa,0.0
457,arrival,support in ncr joa,2.0
458,public repose,support in ncr joa,2.0
459,a funeral service,joa,0.0
460,final disposition with military honor,joa,0.0
461,a military band,the procession within the cemetery,0.0
462,a march company,the procession within the cemetery,0.0
463,a military band,the procession within the cemetery,0.0
464,a marching platoon,the procession within the cemetery,0.0
465,a funeral service,1 support in demise joa,0.0
466,public repose,1 support in demise joa,0.0
467,an airlift,1 support in demise joa,0.0
468,a funeral service,support in interment joa,0.0
469,public repose,support in interment joa,2.0
470,final disposition,support in interment joa,0.0
472,reserve,the military escort,2.0
473,aspect of a healthy lifestyle,comprehensive fitness,0.0
474,push up,test,1.0
475,pull up,test,1.0
476,foreign language proficiency,these critical war fighting capability,0.0
477,the national security strategy,national security strategy document,2.0
478,the national defense strategy,national security strategy document,2.0
479,the security cooperation guidance,national security strategy document,0.0
480,correspondence,a distance,0.0
481,independent study,a distance,0.0
482,satellite,training through electronically mediate instruction,2.0
483,video,training through electronically mediate instruction,2.0
484,transition benefit program,specific authority,0.0
485,urban training facility,training activity on operational range,0.0
486,cyber training environment,training activity on operational range,0.0
487,electronic warfare environment,training activity on operational range,0.0
488,realistic military training,training activity on operational range,0.0
489,mission rehearsal,training,0.0
490,non military unique underwear,a military uniform,0.0
491,towel,a military uniform,0.0
492,special distinctive uniform,organizational clothing,2.0
493,an initial determination process,waiver application,0.0
494,a process,waiver application,0.0
495,student organization,student activity,0.0
496,the school meal program,student activity,2.0
497,the transmission of request for advice,function,2.0
498,any gathering,a partisan political gathering,0.0
499,military reservation,facility,2.0
500,video image,photograph,2.0
501,drawing,photograph,2.0
502,all format of representational medium,photograph,0.0
503,video image,photograph,2.0
504,drawing,photograph,2.0
505,all format of representational medium,photograph,0.0
506,full time training duty,active duty,0.0
507,reference,applicable law,0.0
508,the development,dcips matter,0.0
509,the defense finance and accounting service,a military department,0.0
510,a civilian employee of a support organization,term,1.0
511,career,any type of authorized appointment,0.0
512,recruitment,the typical lifecycle,0.0
513,selection,the typical lifecycle,0.0
514,land,unified action across domain,2.0
515,sea,unified action across domain,2.0
516,air,unified action across domain,2.0
517,space,unified action across domain,0.0
518,the information environment,unified action across domain,0.0
519,an officer ,ity,2.0
520,eeoc,guidance from standard set agency,0.0
521,opm,guidance from standard set agency,2.0
522,affirmative action program,equal opportunity program,0.0
523,sexual harassment in the work force,applicant for employment,0.0
524,complaint of sexual harassment,resolution of complaint of discrimination in employment,0.0
525,complaint of sexual harassment,resolution of complaint of discrimination in employment,0.0
526,sep manager,eeo manager,2.0
527,staff,eeo manager,0.0
528,who,eeo manager,2.0
529,affirmative action plan accomplishment report,exist document,0.0
530,civil right budget report,exist document,0.0
531,semiannual discrimination complaint report,exist document,0.0
532,federal equal opportunity recruitment program report,exist document,0.0
533,current instruction for affirmative action plan,policy guidance,0.0
534,report for minority,policy guidance,0.0
535,woman,policy guidance,0.0
536,people with disability,policy guidance,0.0
537,mental retardation,mental or psychological disorder,2.0
538,organic brain syndrome,mental or psychological disorder,2.0
539,emotional or mental illness,mental or psychological disorder,2.0
540,specific learning disability,mental or psychological disorder,2.0
541,speech organ,respiratory,2.0
542,both religious observance,this directive,0.0
543,the eeoc,the term,0.0
544,activity,support stability operation,0.0
545,occupy territory,judicial authority over foreign territory,0.0
546,intelligence,maritime information,0.0
547,the national mda plan for the national strategy,intelligence integration,2.0
548,the maritime operational threat response for the national strategy for maritime security,these plan,0.0
549,cooperation with government agency,role in mda effort at the national level,0.0
550,pre financed project,nato country,0.0
551,this directive,regulation,0.0
552,temporary use,the term,1.0
553,planning,guidance to the dod component head for arm control agreement,0.0
554,execution,guidance to the dod component head for arm control agreement,0.0
555,personnel,resource,0.0
556,personnel,resource,0.0
557,personnel,resource,0.0
558,personnel,resource,0.0
559,personnel,resource,0.0
560,special operation force,employment of force,0.0
561,activity,the global health security agenda,0.0
562,the global health security agenda,health security relate issue,0.0
563,the identification,implementation of defense intelligence capability,0.0
564,assessment,implementation of defense intelligence capability,0.0
565,cwmd,assign mission,0.0
566,bilateral or multilateral status of force agreement,place,0.0
567,dod expenditure for preproduction engineering,those nc,0.0
568,total production,the pro rata calculation of mde,0.0
569,rape,act of violence,0.0
570,force prostitution,act of violence,0.0
571,assault,act of violence,0.0
572,theft,act of violence,0.0
574,bodily injury,act of violence,0.0
575,serious violation,the criminal punishment of any detainee for any offense,0.0
576,prisoner of war,case of occupation,0.0
577,access,all detainee matter,0.0
578,all detainee matter,the dod detainee program,0.0
581,copy of unclassified case,information,1.0
583,referral to a responsible defense criminal investigative organization or inspector general office of competent jurisdiction,investigation,1.0
584,non judicial punishment,adverse or corrective administrative action,2.0
585,military departments,dod components,0.0
586,respective plan,dod components,0.0
587,policy for training,dod components,0.0
588,education in the law of war,dod components,0.0
589,program for law of war dissemination,violation of the law of war by member of their component,0.0
590,program for law of war,contractor,2.0
591,analysis,issue,0.0
592,the military police,channel,2.0
593,a judge advocate,channel,0.0
594,an inspector general,channel,2.0
595,paragraph 4,review in accordance with applicable procedure,0.0
596,the law of war,domestic and international law,0.0
597,issue in the review,legal issue in nlw,0.0
598,jipt,program event,2.0
599,jcig,program event,2.0
600,meeting,program event,0.0
601,capability demonstration,program event,0.0
602,intelligence collection and related activity,conflict assessment,0.0
603,model,dod analytical tool,0.0
604,simulation,dod analytical tool,2.0
605,the capability,budgeting process,0.0
606,dss,capability,2.0
607,counterterrorism,operation,0.0
608,collaborative training,procedure,0.0
609,focused recruitment,incentive program,2.0
610,bonus,incentive program,2.0
611,specialty pays,incentive program,2.0
613,guerrilla warfare,non traditional method,2.0
614,terrorism,non traditional method,2.0
615,sabotage,non traditional method,2.0
616,man and unmanned platform,autonomous function in weapon system,2.0
617,guide munition,autonomous and semi autonomous weapon system,2.0
619,anti tamper mechanism,the system design,0.0
620,information assurance in accordance with reference,the system design,0.0
621,adversary action,suitability under realistic condition,0.0
622,adversary action,suitability under realistic condition,0.0
623,the development of method of v,research and development priority for autonomy in weapon system,0.0
624,enhancement,the software,0.0
625,patch,the software,0.0
626,emergency transport,the software,0.0
627,the designation,policy,2.0
628,establishment of a governance body in accordance with dodi,policy,0.0
629,associate agreement,global posture executive council review of contingency location development,0.0
630,resourcing request,global posture executive council review of contingency location development,0.0
631,deployment health support,contingency base support,0.0
632,the land area,united states,0.0
633,internal water,united states,0.0
634,territorial sea,united states,0.0
635,airspace,united states,0.0
636,c4 support plan,document,0.0
637,address personnel recovery information requirement,document,0.0
638,forum,personnel recovery issue,0.0
639,commander,personnel,0.0
640,their staff,personnel,0.0
641,contractor employee,all personnel,0.0
643,code of conduct,formal joint pr training,0.0
644,sere,formal joint pr training,0.0
645,joint tactic,joint personnel recovery doctrine,0.0
646,u,associated subcontractor,0.0
647,forward deploy system support,cdf,0.0
648,the federal vacancies reform act,america,2.0
649,individual positional authority,the decision process within the dod component,0.0
650,the identification,9 human resource,0.0
651,location,their individual duty status,2.0
652,contact information,their individual duty status,1.0
653,the capability of all three branch of government,ecg,0.0
654,strategy,the ma construct,0.0
655,plan,the ma construct,0.0
656,policy,the ma construct,1.0
657,standard,the ma construct,1.0
658,osd components,the risk to dod component level mef,2.0
659,ccmd oplans,the risk to dod component level mef,0.0
660,conplans,the risk to dod component level mef,0.0
661,core jmets,the risk to dod component level mef,0.0
662,ma process execution,assign task,0.0
663,security,assign task,0.0
664,protection,assign task,0.0
665,risk management effort,assign task,0.0
666,personnel,asset,2.0
668,facility,asset,2.0
669,network,asset,2.0
670,information,asset,0.0
671,information,asset,0.0
672,operation,activity,2.0
673,exercise,activity,2.0
674,private security contractor in applicable operation,defense contractor personnel,0.0
675,private security contractor,the use of defense contractor personnel,0.0
676,additional support during national special security event,protection duty,0.0
677,fighter air whmo,airlift,2.0
678,noncombatant evacuation operation,term,0.0
679,theater,air transportation,0.0
680,dependent of civilian employee of u,designate,0.0
681,the district of columbia,the united states,0.0
682,the commonwealth of puerto rico,the united states,0.0
683,the u,the united states,0.0
684,sustainment,challenge,0.0
685,the geographic combatant command,the appropriate dod components,0.0
687,the use of federal military force,federal action,0.0
688,arrest,law enforcement function,0.0
689,guidance,dsca operation,0.0
690,base closure,defense program change,0.0
691,realignment,defense program change,0.0
692,expansion,defense program change,0.0
693,the transmission of request for advice,function,2.0
694,associate information system,the mission assurance of space capability,0.0
695,network,the mission assurance of space capability,0.0
696,infrastructure,the mission assurance of space capability,0.0
697,resilience,space mission assurance,2.0
698,acquisition,integration of defense and intelligence space activity,1.0
699,research,integration of defense and intelligence space activity,0.0
700,development,integration of defense and intelligence space activity,0.0
701,space acquisition matter,responsibility,0.0
702,fiscal constraint,objective,2.0
703,starter stock,pwrm,2.0
704,swing,pwrm,2.0
705,stock,pwrm,2.0
706,the obligation,tactical questioning,2.0
707,an assessment of the effectiveness,detainee debriefing in the periodic assessment of dod humint enterprise activity,0.0
708,dod contractor personnel,detainee debriefer,0.0
709,an appropriate law enforcement organization,channel,0.0
710,enclosure,this directive,0.0
711,medical care for detainee,patient,0.0
712,detainee,no absolute confidentiality of medical information for any person,2.0
713,release for any lawful intelligence,procedure,0.0
714,national security relate purpose,procedure,0.0
715,military police,detention operation,0.0
716,security force,detention operation,0.0
718,u,policy,0.0
719,the law of war,relevant international law,0.0
720,applicable directive,relevant international law,0.0
721,instruction,relevant international law,0.0
722,issuance,relevant international law,0.0
723,detainee behavior,interrogation operation,0.0
724,attitude,interrogation operation,0.0
725,relationship,interrogation operation,0.0
726,a justification for that determination,intelligence notice of that determination,0.0
727,a justification for that determination,notice of that determination,0.0
728,a justification for that determination,intelligence notice of that determination,0.0
729,a justification for that determination,notice of that determination,0.0
730,treaty,individual citizen,2.0
731,international agreement,individual citizen,1.0
732,the detention facility in parwan,the dod,0.0
733,afghanistan,the dod,0.0
734,reference,policy,2.0
735,active participation in civilian law enforcement activity,direct assistance,0.0
736,personnel,the level of administrative and logistic support,0.0
737,permanent and temporary personnel support,all request for dod support to the hig,0.0
738,the intelligence combat support agency,the defense intelligence enterprise,0.0
739,the intelligence component of the military services and combatant commands and dod intelligence,the defense intelligence enterprise,0.0
740,counterintelligence,the defense intelligence enterprise,0.0
741,dodi,international and technology transfer,0.0
742,senior level individual,the dod pac,0.0
743,associated personnel,system,2.0
744,cooperation with the department of justice through the fbi,dod material as a result of terrorist or criminal activity,0.0
745,assistance in their identification,technology,2.0
746,neutralization,technology,2.0
747,dismantlement,technology,2.0
748,disposition,technology,2.0
749,coordination,capability in dsca mission,0.0
750,radiation protection,radiobiological matter,0.0
751,decontamination,radiobiological matter,0.0
752,foreign nation,the continental united states,0.0
753,the authorization of special assignment airlift mission,an incident,2.0
754,u,user outside the department,0.0
755,composition,implement policy for the mrtfb,0.0
756,sizing,implement policy for the mrtfb,0.0
757,usage,implement policy for the mrtfb,0.0
758,status of force agreement,the live training and test domain outside the united states in accordance with applicable international agreement,0.0
759,final govern standard,the live training and test domain outside the united states in accordance with applicable international agreement,0.0
760,planning,access to the live training and test domain,0.0
761,budgeting for action,access to the live training and test domain,0.0
762,applicable provision of the dod grant and agreement regulations,accordance with all applicable dgars issuance,0.0
763,circular of the office of management,dod implementation of applicable guidance,0.0
764,electronic warfare support,these capability,0.0
765,database,execution,0.0
766,analytic and intelligence support to ew capability,execution,0.0
767,u,direct cost,0.0
768,test,integrate joint service program,0.0
769,evaluation,integrate joint service program,0.0
770,research,integrate joint service program,0.0
771,development effort,integrate joint service program,0.0
772,the food,combat operation,0.0
773,equipment,combat operation,0.0
774,system,combat operation,0.0
775,ingestion,stage,0.0
776,passport,domex processing of document,0.0
777,passport application,domex processing of document,0.0
778,photo,domex processing of document,0.0
779,video,domex processing of document,0.0
780,hardware,service,2.0
781,software,service,1.0
782,forensic,service,2.0
783,translation support,service,2.0
