,Term,Label,doc_present,rdf_present,Definition
164,Deputy Assistant Secretary of Defense for Supply Chain Integration (DASD(SCI)),synonym,False,True,
165,DASD(Log),synonym,False,True,
166,data record number (DRN),synonym,False,True,
167,data record number,synonym,False,True,
168,DRN,synonym,False,True,
169,defense attaché,synonym,False,True,
170,defense attaché (DATT),synonym,False,True,
171,Defense Business Operations Fund,synonym,False,True,
172,Defense Business Operations Fund (DBOF),synonym,False,True,
173,defense working capital fund,synonym,False,True,
174,defense working capital fund (DWCF),synonym,False,True,
175,DWCF,synonym,False,True,
176,design control activity,synonym,False,True,
177,design control activity (DCA),synonym,False,True,
178,demilitarization program manager,synonym,False,True,
179,DoD DEMIL program manager (DDPM),synonym,False,True,
180,Demilitarization Program Office,synonym,False,True,
181,DoD DEMIL program office (DDPO),synonym,False,True,
182,defective material,synonym,False,True,
183,defective materiel,synonym,False,True,
184,defective part,synonym,False,True,
185,defective property,synonym,True,True,
186,defective item,synonym,False,True,
187,DATT,synonym,False,True,
188,DBOF,synonym,False,True,
189,Defense Freight Railway Interchange Fleet (DFRIF),synonym,False,True,
190,DFRIF,synonym,False,True,
191,Defense Freight Railway Interchange Fleet,synonym,False,True,
192,DLA Enterprise Business Standards Office (EBSO),synonym,False,True,
193,defense medical logistics (DML),synonym,False,True,
194,defense medical logistics,synonym,False,True,
195,DML,synonym,False,True,
196,customer demand,synonym,False,True,
197,demand-based item,synonym,False,True,
198,demand-based consumable item,synonym,False,True,
199,demand history forecast,synonym,False,True,
200,forecast,synonym,True,True,
201,forecasted usage,synonym,False,True,
202,forecasting,synonym,False,True,
203,forecasting demand,synonym,False,True,
204,forecasting models,synonym,False,True,
205,demand forecast,synonym,False,True,
206,demilitarization,synonym,True,True,
207,DEMIL,synonym,False,True,
208,DDPM,synonym,False,True,
209,DDPO,synonym,False,True,
210,United States Air Force (USAF),synonym,False,True,
211,United States Army (USA),synonym,False,True,
212,United States Navy (USN),synonym,False,True,
213,Department of Veterans Affairs (VA),synonym,False,True,
214,VA,synonym,False,True,
215,Veterans Affairs,synonym,False,True,
216,Department of Veterans Affairs,synonym,False,True,
217,Deployment and Distribution Enterprise (JDDE),synonym,False,True,
218,JDDE,synonym,False,True,
219,Deployment and Distribution Enterprise,synonym,False,True,
220,depot-level reparable item,synonym,False,True,
221,depot-level reparable (DLR),synonym,False,True,
222,depot level reparable,synonym,False,True,
223,depot maintenance,synonym,True,True,
224,depot-repair process,synonym,False,True,
225,depot level repair,synonym,False,True,
226,DCA,synonym,False,True,
227,diminishing manufacturing sources and materiel shortages (DMSMS),synonym,False,True,
228,diminishing manufacturing sources and materiel shortages,synonym,False,True,
229,DMSMS,synonym,False,True,
230,disposition,synonym,True,True,
231,disposal,synonym,True,True,
232,distribution depot,synonym,False,True,
233,distribution center,synonym,False,True,
234,distribution facility,synonym,False,True,
235,distribution site,synonym,False,True,
236,forward distribution point (FDP),synonym,False,True,
237,storage activities,synonym,False,True,
238,storage depot,synonym,False,True,
239,storage facility,synonym,False,True,
240,storage location,synonym,False,True,
241,storeroom,synonym,False,True,
242,strategic distribution platform (SDP),synonym,False,True,
243,dla disposition services inventory,synonym,False,True,
244,dla disposition services inventories,synonym,False,True,
245,Defense Logistics Management Standards Office (DLMSO),synonym,False,True,
246,asset visibility,synonym,False,True,
247,DoD property,synonym,False,True,
248,personal property,synonym,True,True,
249,DoD personal property,synonym,False,True,
250,donees,synonym,False,True,
251,donee,synonym,False,True,
252,Executive Airlift Scheduling Activity,synonym,False,True,
253,Executive Airlift Scheduling Activity (EASA),synonym,False,True,
254,economic order quantities (EOQ),synonym,False,True,
255,economic order quantities,synonym,False,True,
256,EOQ,synonym,False,True,
257,electronic data interchange (EDI),synonym,False,True,
258,electronic business transactions,synonym,False,True,
259,personnel,synonym,True,True,
260,item end of life,synonym,False,True,
261,enterprise metrics,synonym,False,True,
262,enterprise level metrics,synonym,False,True,
263,similar item,synonym,False,True,
264,essential part,synonym,False,True,
265,insurance item,synonym,False,True,
266,essential item,synonym,False,True,
267,surplus,synonym,False,True,
268,excess personal property,synonym,True,True,
269,excess materiel,synonym,False,True,
270,excess item,synonym,False,True,
271,excess dod personal property,synonym,False,True,
272,excess property,synonym,True,True,
273,surplus property,synonym,True,True,
274,EASA,synonym,False,True,
275,expended ordnance,synonym,False,True,
276,expended ammunition,synonym,False,True,
277,expended small arms cartridge casing,synonym,False,True,
278,expended small arms cartridge cases (ESACC),synonym,False,True,
279,case,synonym,True,True,
280,fax,synonym,False,True,
281,facsimile,synonym,False,True,
282,food cost index,synonym,True,True,
283,food cost index (FCI),synonym,False,True,
284,Federal Catalog Program (FCP),synonym,False,True,
285,federal catalog system (FCS),synonym,False,True,
286,FCP,synonym,False,True,
287,federal catalog program,synonym,False,True,
288,FCS,synonym,False,True,
289,federal catalog system,synonym,False,True,
290,federal excess personal property (FEPP),synonym,False,True,
291,federal excess personal (FEP),synonym,False,True,
292,federal logistics information system (FLIS),synonym,False,True,
293,federal logistics data (FEDLOG),synonym,False,True,
294,federal logistics information system,synonym,False,True,
295,federal logistics information system web inquiry (WEBFLIS),synonym,False,True,
296,FLIS,synonym,False,True,
297,FLIS database,synonym,False,True,
298,federal logistics information system web inquiry,synonym,False,True,
299,WEBFLIS,synonym,False,True,
300,federal supply classification,synonym,False,True,
301,federal supply class (FSC),synonym,False,True,
302,federal supply classification (FSC),synonym,False,True,
303,FSC,synonym,False,True,
304,Financial Improvement and Audit Readiness (FIAR),synonym,False,True,
305,field-repair cycle,synonym,False,True,
306,field reconditioning,synonym,False,True,
307,field-repair,synonym,False,True,
308,weapon system perfomance objective,synonym,False,True,
309,FIAR,synonym,False,True,
310,Financial Improvement and Audit Readiness,synonym,False,True,
311,fired cartridge cases,synonym,False,True,
312,fired ordnance,synonym,False,True,
313,firing range expended brass,synonym,False,True,
314,fired brass,synonym,False,True,
315,Aviation CSI,synonym,False,True,
316,foreign military sales (FMS),synonym,False,True,
317,Food and Nutrition Board,synonym,False,True,
318,Food and Nutrition Board (FNB),synonym,False,True,
319,FNB,synonym,False,True,
320,FCI,synonym,False,True,
321,priority designator (PD),synonym,False,True,
322,forecasted requirements,synonym,False,True,
323,forecasted demand,synonym,False,True,
324,foreign-owned property,synonym,False,True,
325,Military Assistance Program (MAP),synonym,False,True,
326,foreign-owned materiel,synonym,False,True,
327,foreign purchased property,synonym,True,True,
328,foreign/captured,synonym,False,True,
329,foreign excess personal property (FEPP),synonym,False,True,
330,foreign excess,synonym,False,True,
331,FMS cases,synonym,False,True,
332,grant aid cases,synonym,False,True,
333,grant aid customer,synonym,False,True,
334,foreign assets,synonym,False,True,
335,U.S. Department of Agriculture Forestry Service,synonym,False,True,
336,air conditioner,synonym,False,True,
337,full supply pipeline,synonym,False,True,
338,full pipeline,synonym,False,True,
339,fund code,synonym,False,True,
340,funding code,synonym,False,True,
341,fund citation,synonym,False,True,
342,requisition,synonym,True,True,
343,anti-gravity suit,synonym,False,True,
344,GPF unit,synonym,False,True,
345,Geographic Combatant Command,synonym,False,True,
346,Geographic Combatant Command (GCC),synonym,False,True,
347,global distribution network,synonym,False,True,
348,global distribution network (GDN),synonym,False,True,
349,legal counsel,synonym,False,True,
350,General Services Administration (GSA),synonym,False,True,
351,General Services Administration,synonym,False,True,
352,GSA,synonym,False,True,
353,generating source,synonym,False,True,
354,generator,synonym,False,True,
355,generating activity,synonym,True,True,
356,GCC,synonym,False,True,
357,government furnished equipment,synonym,True,True,
358,Government furnished equipment (GFE),synonym,False,True,
359,government furnished material,synonym,False,True,
360,Government furnished materiel (GFM),synonym,False,True,
361,overnment furnished materiel,synonym,False,True,
362,government furnished property,synonym,True,True,
363,Government furnished property (GFP),synonym,False,True,
364,Global Information Grid (GIG) Enterprise Services (GES),synonym,False,True,
365,GDN,synonym,False,True,
366,GIG enterprise services,synonym,False,True,
367,government-furnished materiel (GFM),synonym,False,True,
368,government-furnished equipment (GFE),synonym,False,True,
369,GFE,synonym,False,True,
370,GFM,synonym,False,True,
371,government furnished material (GFM),synonym,False,True,
372,government furnished materiel,synonym,True,True,
373,GFP,synonym,False,True,
374,gas particulate filter unit (GPFU),synonym,False,True,
375,green services,synonym,False,True,
376,green products,synonym,True,True,
377,hazardous material (HAZMAT),synonym,False,True,
378,hazardous materiel,synonym,False,True,
379,hazardous components,synonym,False,True,
380,hazardous item,synonym,True,True,
381,hazardous substance,synonym,True,True,
382,hazardous property (HP),synonym,False,True,
383,helmet,synonym,False,True,
384,headgear,synonym,False,True,
385,higher level assembly,synonym,False,True,
386,next higher assembly,synonym,False,True,
387,higher assembly,synonym,False,True,
388,host installation,synonym,False,True,
389,host nation,synonym,True,True,
390,host activity,synonym,False,True,
391,host country,synonym,False,True,
392,host government,synonym,False,True,
393,"Human Performance, Training, and BioSystems",synonym,False,True,
394,"Human Performance, Training, and BioSystems (HPT)",synonym,False,True,
395,HPT,synonym,False,True,
396,interchangeable and substitutable (I) family,synonym,False,True,
397,International Civil Aviation Organization,synonym,False,True,
398,International Civil Aviation Organization (ICAO),synonym,False,True,
399,item entry control (IEC),synonym,False,True,
400,inherently governmental functions,synonym,False,True,
401,inherently governmental functions (IGF),synonym,False,True,
402,item identification guide (IIG),synonym,False,True,
403,visibility,synonym,False,True,
404,IGF,synonym,False,True,
405,initial spares,synonym,False,True,
406,outfitting,synonym,False,True,
407,provisioning,synonym,True,True,
408,initial outfitting,synonym,True,True,
409,(I),synonym,False,True,
410,interchangeability and substitutability,synonym,False,True,
411,I family,synonym,False,True,
412,interchangeable and substitutable family,synonym,False,True,
413,Internal Use Software (IUS),synonym,False,True,
414,IUS,synonym,False,True,
415,Internal Use Software,synonym,False,True,
416,ICAO,synonym,False,True,
417,level of inventory,synonym,False,True,
418,level of stock,synonym,False,True,
419,stock level,synonym,False,True,
420,end of life,synonym,False,True,
421,IEC,synonym,False,True,
422,item entry control,synonym,False,True,
423,IIG,synonym,False,True,
424,item identification guide,synonym,False,True,
425,new item introduction,synonym,False,True,
426,Joint Service Recipe Committee (JSRC),synonym,False,True,
427,JSRC,synonym,False,True,
428,Joint Service Recipe Committee,synonym,False,True,
429,Joint Subsistence Policy Board (JSPB),synonym,False,True,
430,JSPB,synonym,False,True,
431,Joint Subsistence Policy Board,synonym,False,True,
432,Joint Travel Regulations (JTR),synonym,False,True,
433,JTR,synonym,False,True,
434,Joint Travel Regulations,synonym,False,True,
435,Junior Reserve Officer Training Corps,synonym,False,True,
436,Junior Reserve Officer Training Corps (JROTC),synonym,False,True,
437,JROTC,synonym,False,True,
438,ram,synonym,False,True,
439,law enforcement support office (LESO),synonym,False,True,
440,law enforcement support,synonym,False,True,
441,general counsel,synonym,False,True,
442,inventory level,synonym,False,True,
443,modeling and simulation,synonym,False,True,
444,modeling and simulation (M),synonym,False,True,
445,repair,synonym,False,True,
446,maintenance facility,synonym,False,True,
447,maintenance depot,synonym,False,True,
448,Class VII,synonym,False,True,
449,mic,synonym,False,True,
450,materiel retention,synonym,False,True,
451,materiel return,synonym,False,True,
452,material retention,synonym,False,True,
453,material return,synonym,False,True,
454,backorders,synonym,False,True,
455,acquisition,synonym,True,True,
456,could,synonym,False,True,
457,military mission design series,synonym,False,True,
458,model-design-series,synonym,False,True,
459,"Meal, Ready to Eat (MRE)",synonym,False,True,
460,MRE,synonym,False,True,
461,"Meal, Ready to Eat",synonym,False,True,
462,ready-to-eat,synonym,False,True,
463,Class VIII,synonym,False,True,
464,Medical Materiel Executive Agent (MMEA),synonym,False,True,
465,Medical Materiel Executive Agent,synonym,False,True,
466,MMEA,synonym,False,True,
467,memorandum of understanding (MOU),synonym,False,True,
468,memorandum of agreement (MOA),synonym,False,True,
469,performance measures,synonym,False,True,
470,Military Health System (MHS),synonym,False,True,
471,manager's internal control,synonym,False,True,
472,material identification and control,synonym,False,True,
473,activity,synonym,True,True,
474,MHS,synonym,False,True,
475,Military Health System,synonym,False,True,
476,base,synonym,False,True,
477,fort,synonym,False,True,
478,station,synonym,False,True,
479,MDS,synonym,False,True,
480,Military Traffic Management Command (MTMC),synonym,False,True,
481,MTMC,synonym,False,True,
482,Military Traffic Management Command,synonym,False,True,
483,M,synonym,False,True,
484,MTMC Transportation Engineering Agency (MTMCTEA),synonym,False,True,
485,MTMCTEA,synonym,False,True,
486,MTMC Transportation Engineering Agency,synonym,False,True,
487,shall,synonym,False,True,
488,should,synonym,False,True,
489,will,synonym,False,True,
490,National Capital Region (NCR),synonym,False,True,
491,NCR,synonym,False,True,
492,National Capital Region,synonym,False,True,
493,NATO National Codification Bureau,synonym,False,True,
494,wholesale,synonym,True,True,
495,wholesale echelon,synonym,False,True,
496,wholesale level of supply,synonym,False,True,
497,wholesale supply,synonym,False,True,
498,National Motor Freight Classification (NMFC),synonym,False,True,
499,National Motor Freight Classification,synonym,False,True,
500,NMFC,synonym,False,True,
501,National Transportation Safety Board (NTSB),synonym,False,True,
502,NTSB,synonym,False,True,
503,National Transportation Safety Board,synonym,False,True,
504,National Codification Bureau (NCB),synonym,False,True,
505,NATO Support Agency (NSPA),synonym,False,True,
506,NATO Support Agency,synonym,False,True,
507,NSPA,synonym,False,True,
508,North Atlantic Treaty Organization commercial and government entity (NCAGE),synonym,False,True,
509,item introduction,synonym,False,True,
510,Nuclear Ordnance Cataloging Office (NOCO),synonym,False,True,
511,non-demand based items,synonym,False,True,
512,non-demand-based requirements,synonym,False,True,
513,non-tactical vehicle (NTV),synonym,False,True,
514,non-tactical vehicles (NTVs),synonym,False,True,
515,nontactical vehicle,synonym,False,True,
516,NTV,synonym,False,True,
517,NTVs,synonym,False,True,
518,non-tactical vehicle,synonym,False,True,
519,NCAGE,synonym,False,True,
520,North Atlantic Treaty Organization commercial and government entity,synonym,False,True,
521,numeric stockage objective,synonym,False,True,
522,numeric stockage objective (NSO),synonym,False,True,
523,NOCO,synonym,False,True,
524,Nuclear Ordnance Cataloging Office,synonym,False,True,
525,NSO,synonym,False,True,
526,operations and support,synonym,False,True,
527,operations and support costs,synonym,False,True,
528,output data request code (ODRC),synonym,False,True,
529,operational support airlift (OSA),synonym,False,True,
530,OSA,synonym,False,True,
531,operational support airlift,synonym,False,True,
532,OSA aircraft,synonym,False,True,
533,O,synonym,False,True,
534,operational support airlift aircraft,synonym,False,True,
535,ODRC,synonym,False,True,
536,output data request code,synonym,False,True,
537,box,synonym,False,True,
538,container,synonym,True,True,
539,crate,synonym,False,True,
540,envelop,synonym,False,True,
541,463L,synonym,False,True,
542,public-private,synonym,False,True,
543,performance-based agreement,synonym,True,True,
544,performance-based agreement (PBA),synonym,False,True,
545,pine bluff arsenal,synonym,False,True,
546,PBA,synonym,False,True,
547,metrics,synonym,True,True,
548,Class VI,synonym,False,True,
549,employees,synonym,True,True,
550,people,synonym,False,True,
551,persons,synonym,True,True,
552,Class III,synonym,False,True,
553,retirement,synonym,True,True,
554,program objective memorandum,synonym,False,True,
555,program objective memorandum (POM),synonym,False,True,
556,force/activity designator (F/AD),synonym,False,True,
557,acquisition lead time,synonym,False,True,
558,POM,synonym,False,True,
559,partnerships,synonym,False,True,
560,buyer,synonym,False,True,
561,quantity,synonym,False,True,
562,QTY,synonym,False,True,
563,railroad,synonym,False,True,
564,railway,synonym,False,True,
565,train,synonym,False,True,
566,rail,synonym,False,True,
567,kinetic energy,synonym,False,True,
568,Class I,synonym,False,True,
569,"research, development, test and evaluation",synonym,False,True,
570,"research, development, test and evaluation (RDT)",synonym,False,True,
571,"research, development, testing and engineering",synonym,False,True,
572,"research, development, testing and engineering (RDT)",synonym,False,True,
573,re-distribute,synonym,False,True,
574,reallocation,synonym,False,True,
575,redistribute,synonym,False,True,
576,re-allocation,synonym,False,True,
577,"meals, ready-to-eat (MRE)",synonym,False,True,
578,Ready Reserve Force (RRF),synonym,False,True,
579,RRF,synonym,False,True,
580,Ready Reserve Force,synonym,False,True,
581,reconciliation,synonym,True,True,
582,reconcile,synonym,False,True,
583,regional level,synonym,False,True,
584,regional-level,synonym,False,True,
585,maintenance,synonym,True,True,
586,Class IX,synonym,False,True,
587,reparable item,synonym,True,True,
588,reparables,synonym,False,True,
589,repairable item,synonym,False,True,
590,reparable component,synonym,False,True,
591,reparable,synonym,False,True,
592,funded order,synonym,False,True,
593,RDT,synonym,False,True,
594,Reserve Officer Training Corps (ROTC),synonym,False,True,
595,ROTC,synonym,False,True,
596,Reserve Officer Training Corps,synonym,False,True,
597,resourcing,synonym,False,True,
598,resourced,synonym,False,True,
599,consumer level,synonym,False,True,
600,retail-level activities,synonym,False,True,
601,retail supply activity,synonym,False,True,
602,phase out,synonym,False,True,
603,sales  operations planning,synonym,False,True,
604,sales  operations planning (S),synonym,False,True,
605,sales and operations planning,synonym,False,True,
606,sales and operations planning (S),synonym,False,True,
607,safe alert latent defect (SALD),synonym,False,True,
608,safe alert,synonym,False,True,
609,S,synonym,False,True,
610,selling agency representative,synonym,False,True,
611,small arms range,synonym,False,True,
612,Supply Chain Executive Steering Committee (SCESC),synonym,False,True,
613,scrap materiel,synonym,False,True,
614,scrap property,synonym,False,True,
615,scrap material,synonym,False,True,
616,Surface Deployment and Distribution Command,synonym,False,True,
617,Surface Deployment and Distribution Command (SDDC),synonym,False,True,
618,Surface Deployment and Distribution Command Transportation Engineering Agency,synonym,False,True,
619,Surface Deployment and Distribution Command Transportation Engineering Agency (SDDCTEA),synonym,False,True,
620,seismograph,synonym,False,True,
621,seismo,synonym,False,True,
622,SAR,synonym,False,True,
623,serialized item management (SIM),synonym,False,True,
624,serial number tracking (SNT),synonym,False,True,
625,agency level,synonym,False,True,
626,service level,synonym,False,True,
627,serviceables,synonym,False,True,
628,serviceable,synonym,False,True,
629,must,synonym,False,True,
630,equivalent item,synonym,False,True,
631,single integrated medical logistics manager,synonym,False,True,
632,single integrated medical logistics manager (SIMLM),synonym,False,True,
633,SIMLM,synonym,False,True,
634,source of supply,synonym,False,True,
635,source of supply (SOS),synonym,False,True,
636,SOS,synonym,False,True,
637,space available,synonym,False,True,
638,space available travel,synonym,False,True,
639,space-available,synonym,False,True,
640,space-available travel,synonym,False,True,
641,supply support activities,synonym,False,True,
642,supply support activities (SSA),synonym,False,True,
643,Standard Test Database (STDB),synonym,False,True,
644,STDB,synonym,False,True,
645,Standard Test Database,synonym,False,True,
646,survey,synonym,True,True,
647,asset stratification,synonym,False,True,
648,inventory stratification,synonym,False,True,
649,item stratification,synonym,False,True,
650,stratification,synonym,False,True,
651,stratification procedures,synonym,False,True,
652,subassemblies,synonym,False,True,
653,subassembly:,synonym,False,True,
654,sub-assembly,synonym,False,True,
655,SCESC,synonym,False,True,
656,Supply Chain Executive Steering Committee,synonym,False,True,
657,supply chain materiel management,synonym,False,True,
658,supply chain management,synonym,True,True,
659,supply item,synonym,False,True,
660,supply inventory,synonym,False,True,
661,SSA,synonym,False,True,
662,SDDC,synonym,False,True,
663,SDDCTEA,synonym,False,True,
664,excess,synonym,True,True,
665,surplus DoD item,synonym,False,True,
666,surplus items,synonym,False,True,
667,surplus parts,synonym,False,True,
668,surplus spare parts,synonym,False,True,
669,stock survey,synonym,False,True,
670,Transportation Account Code,synonym,False,True,
671,Transportation Account Code (TAC),synonym,False,True,
672,theatre,synonym,False,True,
673,theater lead agents for medical materiel (TLAMMs),synonym,False,True,
674,TLAMMs,synonym,False,True,
675,theater lead agents for medical materiel,synonym,False,True,
676,theater,synonym,True,True,
677,accountable record for inventory,synonym,False,True,
678,traceable,synonym,False,True,
679,traceability,synonym,True,True,
680,transshipment,synonym,False,True,
681,transfer property,synonym,False,True,
682,transfer materiel,synonym,False,True,
683,transfer personal property,synonym,False,True,
684,TAC,synonym,False,True,
685,transportation service providers (TSP),synonym,False,True,
686,TSP,synonym,False,True,
687,transportation service providers,synonym,False,True,
688,trans-shipment,synonym,False,True,
689,Agency for International Development,synonym,False,True,
690,forestry service (FS),synonym,False,True,
691,Under Secretary of Defense for Personnel and Readiness (USD(P)),synonym,False,True,
692,USD(P),synonym,False,True,
693,Under Secretary of Defense for Personnel and Readiness,synonym,False,True,
694,Under Secretary of Defense for Policy (USD(P)),synonym,False,True,
695,Under Secretary of Defense for Policy,synonym,False,True,
696,United Service Organization (USO),synonym,False,True,
697,United Services Organization,synonym,False,True,
698,USO,synonym,False,True,
699,United Service Organization,synonym,False,True,
700,Department of the Air Force,synonym,False,True,
701,Department of the Army,synonym,False,True,
702,Department of the Navy,synonym,False,True,
703,unserviceable items,synonym,False,True,
704,unserviceable DLR,synonym,False,True,
705,unserviceable DLR item,synonym,False,True,
706,unserviceable reparable,synonym,False,True,
707,unserviceable reparable assets,synonym,False,True,
708,unserviceable reparable item,synonym,False,True,
709,unserviceable depot reparable items,synonym,False,True,
710,unserviceable assets,synonym,False,True,
711,unserviceable materiel,synonym,False,True,
712,vessel sharing agreement (VSA),synonym,False,True,
713,VSA,synonym,False,True,
714,vessel sharing agreement,synonym,False,True,
715,Voluntary Intermodal Sealift Agreement,synonym,False,True,
716,Voluntary Intermodal Sealift Agreement (VISA),synonym,False,True,
717,In-Storage Visibility,synonym,False,True,
718,VISA,synonym,False,True,
719,contingency,synonym,True,True,
720,Wide Area WorkFlow,synonym,False,True,
721,Wide Area WorkFlow (WAWF),synonym,False,True,
722,fill-time objective,synonym,False,True,
723,Weapons Systems Support (WSS),synonym,False,True,
724,Weapons Systems Support,synonym,False,True,
725,WSS,synonym,False,True,
726,national inventory,synonym,False,True,
