Hyponym,Hypernym,Tag
recruitment bonus,lump sum payment,2
consideration,nho,0
audits,law,0
peacetime operate stock,product,0
WMD terrorism risk,WMD risk,2
classification level,this enclosure,2
boarding,airfare transaction,1
security assistance,security cooperation,2
research development,research a systematic investigation,2
property administration,contract administration function,2
personnel,category,1
travel,cost,1
acquisition,command awf position,0
foreign military,external stakeholder,2
military,nafi,1
teacher,group,0
repose,interment JOA,0
the graphic art,field,0
GSA schedule,purchasing tool,2
the AT Working Group,requirement,0
a disaster,unanticipated event,2
support,civil authority,0
the addition,accuracy,0
biomass,technology,1
epidemiology,discipline,2
private security contractor,defense contractor personnel,2
the cause,ship transfer,0
water,critical infrastructure,2
cargo,ntv,2
hazardous material,activity,2
ssr,tool,1
tlo,one CMT,0
Air,military exchange,1
DoDI,regulation,2
the implementation,equipment,0
activity,CDPs,1
digital signature,electronic data interchange technology,2
territorial sea,area,2
membrane process,alternate filtration technology,2
support,special event,0
help,service,2
LRA tenant,common service,1
pencil,those material,1
project increase,agency,0
UD,CUI misuse,0
Medicaid,Federal benefit,2
liaison,civil sar function,0
aggregate datum or sanitize report,information,2
military library,official outlet,1
support,intelligence analysis support,1
fire,the facility,0
periodic review,the IAC program,2
contact,DoD missions,0
a block diagram,architecture,2
family quarter,duty,0
headquarters staff,the Army,2
tire,the military exchange,0
substitute,material,1
the revalidation statement,Congress,0
solid waste,discard material,2
clemency,program,
patch management,classified ISs,
major repair work,conversion,
response,agency,
laboratory,facility,
employee,commercial agent,
any software,document system connectivity,
the JDF,process,
incident,threat,
part,work function,
logistical support,resource,
negotiation impasse,matter,
any forensic or autopsy result,appropriate military authority,
DoD contractor,all mission partner entity,
food,service,
domestic violence,violent alleged crime,
military law enforcement,work,
capital,manage revenue,
title,briefing slide,
selective placement factor,eligible candidate,
awareness,the Components SCI security program,
holiday meal,occasion,
U,the contiguous United States,
development,all technical document,
exception,the response,
FPCON,security,
product support,capability requirement,
electronic datum transfer,export license review,
training course,reference material,
golf resale,service,
countermeasure,health hazard,
military,mission accomplishment,
EEOC,an Agency,
guide,Control measure,
distribution,datum,
service member,DoD personnel,
history,information,
the DoD,the DHA Privacy Office,
GSA Advantage,potential commercial source,
natural and cultural resource,office,
the secondary containment system,the tank system,
any firm,supply,
duty,United States,
barrel,a receptacle,
the Society,organization,
coordination,NLW human effect,
management,the DoD Components,
concert,event,
preparation and planning activity,contact,
telecommunication system,that information system,
practice,the future DoD IE,
complex catastrophe,disaster,
protection,security,
the reason,member,
access,detail,
all travel,a JCOC,
caption,briefing slide,
budgeting,function,
reutilization,the Defense Material Disposition Program,
interagency and international partner,audience,
account reconciliation,the DFSP,
flood control,water system,
recommendation,cryptologic school,
criterion,a minimum,
action,Military Justice,
rototiller,item,
human capital,support YRRP,
repair,reason,
an Environmental,the facility,
adjudication,the NSEP service agreement,
troop drawdown,the newspaper,
restitution,resultant cost,
auction,approach,
DODIN operation,cyberspace operation policy,
section,eight page,
small arm serialize weapon,DEMIL,
information,service record,
configuration guideline,information,
posting,pesticide exposure,
assistance,operational problem,
record,an individual,
trainee,program,
soil surface feature,the site,
all transportation cost,service,
the standard synopsis and witness statement,initial MOH recommendation,
associated standard,the DoD NFIRS Program,
ammunition product,security,
a ladder,structure,
the U,each respective Military Service,
IUS,all DoD IT and information system,
repair,conservation method,
box,a receptacle,
clear defense contractor system processing,the NISP,
the concerned Military Department,DoD,
web server,DoD information system,
prototype,program,
the etiology,the four PHEIC criterion,
the determination,package alcoholic beverage,
food service,White House function,
approve finding,specific nuclear weapon system,
specification,functional capability,
authorize attendant,secretarial designee health care beneficiary,
procedure,guideline,
equipment,establish facility,
natural event,challenge,
chemical coagulation,direct filtration Water treatment,
personnel,time,
vessel,installation,
any violence,any abuse,
name brand casual dining,food and beverage activity,
information,congressional and DoD reporting,
the Young Mens and Womens Christian Associations,organization,
the Defense Privacy,Compliance,
hospital housekeeping,specialized logistics service,
all matter,defense,
evaluation,a systematic investigation,
equipment allowance,capability,
sniper training,advanced marksmanship training,
wraparound gown,a solid front,
transcriber,elect official,
water,individual emergency preparedness,
international agreement,individual citizen,
the accurate and timely reporting,headquarters,
barge,an external source,
FW,pay plan,
billet,node,
DoD Directives,regulation,
adjudication,agreement,
water,service,
management,capability,
administrative proceeding,litigation,
standard,all applicable technical datum,
outgrant,real property,
DOT,certification,
food,essential resource,
write guideline,nature,
the OSD Components,component,
badge accountability,topic,
physical participant,security protection,
documentary,medium production,
the miss man formation,aircraft flyover,
joint supplementation,specific need,
threat assessment,finished intelligence,
armed attack,a single incident,
a physical inventory,property asset record,
an explanation,the change,
HMX,explosive powder,
problem,problem,
leadership,duty,
statement,narrative,
glassware,household good,
it standard,guidance,
emergency transport,the software,
spacecraft,some program,
electronic form,all form,
benefit,DoD missions,
choral group,military support,
program,subcontractor,
military aircraft,defense mission,
outer garment,athletic uniform,
the authorization,an incident,
OMB Memorandums,relate OMB guidance,
information technology,Defense,
implementation,tool,
silver,household good,
fit restriction,a critical feature,
accountability,IS,
part,transportation,
submission,the SE program,
TDRL,retired pay,
agent,public agency,
automobile,vehicle sale,
reporting,DC3 activity,
release,organization,
the group,each propose program,
U,Aircraft,
the national interest,writing,
depot,any DoD organization,
information,force materiel,
affirmation,the RC member,
SES position planning,area,
court probation,civilian community agency,
author,attribute,
stair,structure,
hospitalization,TDRL examination,
rifle scope,Accessories,
community,joint operation,
community relation,the DoD,
improper endorsement,official position,
any matter,OSD Principal Staff management,
any negative impact,waiver,
cyber threat,or threat,
educational requirement,continuous learning,
wholly inert component,related material,
budgeting,oversight,
TA,financial support,
DoDI,applicable standard,
license,all pertinent documentation,
evidence,time,
participation,DoD,
logistics center,organization,
construction,any property improvement,
a family child care provider,an alternate care provider,
system identification,record,
research,facility,
schedule,activity,
profit,item,
crew protection kit,this table,
adverse weather,event,
the process,ground disturbing activity,
whose border,country,
remedial action,response action,
security clearance,the SCO,
requirement,OSA,
outpatient care,service,
the recruitment,the Combatant Commands,
commercial trade name,PCBs,
responsibility,the DoD FCP,
general terminal area,potential threat area,
National Environmental Policy Act,environmental consideration,
any final year,study,
medication,treatment,
shipment consolidation opportunity,good practice,
access,generally accept standard,
administration,the YS,
all place,territorial sense,
vendor,the supply chain,
reference,and policy,
software,supportability,
eop,electronic messaging service,
the UCMJ,law,
land,all domain,
threat,information,
issue,associate document,
youth computer,technology program activity,
EUC,all pertinent documentation,
the role,position,
removal,information,
urgency,that the require information,
sale,transfer,
recommendation,budgeting,
removal,disciplinary or adverse action,
USG agency employee,DoD civilian and contractor support employee,
missile warning system,defense,
validate sampling plan,materiel,
the Combatant Commanders joint plan,Review relevant document,
business rule,the CIP,
climate,challenge,
foreign government,government agency,
member,any individual,
the Joint Staff IG,ig,
financial challenge,stressor,
appeal request,relocate exhibit,
the geographic combatant,DoD,
guidance,the DoD,
maintenance,planning activity,
a conference room,a control area,
the number,factor,
update,ASSIST,
operate system,software,
research,CS and IA activity,
OCONUS,all DoD civilian personnel,
consultant,pay,
presidential protection,the USSS,
occupancy,item,
oversight,this issuance,
logistical support,cooperation,
evidence,independently derive evidence,
maintenance,cost,
muffler,Accessories,
Military Department birthday,special occasion,
theft,a crime,
cybersecurity,survivability,
development,espionage,
hurricane,natural disaster,
referral management,resource,
work file,document,
duty,active duty status,
preparation,sustainable procurement indicator,
judgment,government,
supply,installation,
use or damage item,DoD property,
the final scoring report,project documentation,
the DEP,enlistment purpose,
S,program,
weapon,service,
eligible health care,DoD Components,
smoke,application,
specific dos authorization,issuance,
data requirement,NGRER,
facility,asset,
a biological product,a drug,
circuit,item,
purpose,management training,
special paint,application,
crisis response,amphibious operation,
date,activity,
radiological dispersal device,material,
government,Property,
the essential mission,test strategy,
machinery,personal property,
DIA,intelligence organization,
how PSC,plan or ongoing military operation,
the ro,all applicable member,
military criminal investigator,numerous customer,
Title 32 National Guard Members,the Armed Forces,
desk support,activity,
pest control,certify official,
officer,active duty,
any improvement,real property,
furnishing,the initial building,
a lose medical record,health information,
school availability,dependent,
policy,instructional service,
physical security,security discipline,
the RC BCAC,DCAOs,
the local emergency planning committee,local EM activity,
endorsement,investigator,
risk analysis,security management process,
both prime contractor,agency,
the software,PDF,
transfer,the proper procedure,
any lease facility,Defense,
DMDC,issue,
notification,simple process action,
intelligence system,the DoD,
complex digital datum,the technical data requirement,
defective exhaust,120 faulty equipment,
personnel,a single authority and security policy,
DoD function code,manpower management,
immunodeficiency,the immune system,
veteran,national organization,
the Council,RC facility,
DoD civilian employee,DoD personnel,
cushion,article,
nuclear and radiological incident,emergency,
goggle,equipment,
the transmission,responsibility,
DoD network,Center,
the infrastructure,multiple service layer,
repair,all source,
evaluation scope,additional document,
approve safety level,the article,
information sharing,DITMAC activity,
name,certify pesticide applicator,
grade reduction,action,
exhortation,measure,
a telework center,approve alternative worksite,
DoD Electronic Mall,potential commercial source,
national leadership,critical enabler,
authorization,risk management,
a building polygon,a geospatial feature,
hookup,the proper procedure,
use,this issuance,
DD Form,relevant document,
establishment,matter,
the function,Immunization Program,
military family,military construction program,
message,attachment,
service use,the DODIN,
memorandum,vehicle,
a medical device,a drug,
communication,the DoD information enterprise,
negative and positive control material,each qualitative procedure,
all DDS personnel,Oversees DDS operation,
dam,waterway,
outline MCs,preliminary draft document,
employee,occupant,
SCI,national security information,
printer,hard drive component,
equipment,item,
program aid,and responsibility,
purpose,an assign mission,
lead,heavy metal,
identification,all account establishment information,
personnel space,establish facility,
installation,sea and associate support activity,
subcontractor,agency,
fee,fee,
final disposition,interment JOA,
training,all military operation,
administration,cost,
the acquisition strategy,key program information,
dinner,event,
Hawaii,the United States,
the initial,the claim,
business development,implementation funding,
provision,Federal personnel,
information,communication,
the location,scene,
mathematician,researcher,
water,territorial sense,
RIRP,military pay extract file,
database,execution,
weapon,large scale population health threat,
product center,organization,
the notice,the original application,
access,capability,
the recommendation,record,
waste stream,solid waste management,
video game,stress relief,
result,reliability assessment,
viton,plastic binder,
any recommend measure,Industrial Security Program,
diving research,training,
bacteria,harmful microorganism,
hazard,any hazard,
introduction,factor,
the board,inquiry,
future application,system,
implementation,function,
recommend response,management report,
national emergency,DoD requirement,
the Azores,Portugal,
final cost,that order,
reimbursement,compensation,
crude pol,petroleum,
amendment,travel order,
additional remain,conflict,
transponder,Administration or National Transportation Safety Board modification,
the standard,level,
component subsystem,Integrated Retail Terminals,
flight cancellation,movement,
instrumentality,a foreign government,
employee right,employment,
sump,Tank system,
temporary denial,disincentive,
FDR,GHE activity,
CCMD oplan,mef,
historic ship,all historic property,
assignment,Military Department,
member,the Committee,
operation,service,
the accountability,management responsibility,
nonperishable food,article,
the SDP,JSWSR requirement,
board game,stress relief,
a housing area,natural boundary,
rental and lease agreement,any enforceable agreement,
a door frame,ground item,
AFHE system,deploy automation system,
ADMN,single functional area assignment,
accountability,federal fleet reporting,
cost,suitability,
curriculum expansion,event,
record,HSR record,
the identification,the private sector,
data transport cycle upgrade,Optimization Plan,
the potential impact,factor,
installation,protection,
DoD,CBRD RDA,
the ability,consideration,
educational institution,dod research institution,
implementation,an RCC,
documentation,the site audit file,
information,electronic communication,
imprest,authorized purpose,
prosimian,the order primata,
military construction,planning and compliance status,
aluminum,nonferrous metal,
test center,organization,
MILCON,associated facility cost datum estimate,
judicial decree,document,
COR trip report,surveillance documentation,
a physician statement,document,
impact,qualitative factor,
encryption,protective measure,
the JLDP,time,
Vulnerability assessment,risk management report,
the establishment,the foreign government,
software control,the EMF hazard,
replacement,facility,
any lease facility,the DoD,
federal agency,outside entity,
chronic school truancy,serious or repeated misbehavior,
analysis,appropriate assessment,
any amendment,each international agreement,
clothe washer,common area,
a funeral service,demise JOA,
material,the USTRANSCOM courier network,
video,file,
the MOH,the Military Departments,
one DD Form,manual transaction,
fire,matter,
an administrative subpoena,an administrative request,
population,the near civilian community,
a full range,active and passive security measure,
missile fragmentation map,detail,
physical security,program,
name,the DPAS officer directory,
an itemize cost breakdown,cleanup completion,
decision,the Defense Acquisition System lifecycle,
issue,NLW,
cybersecurity,standard,
the status,meeting,
order,administrative power,
the location,each action,
apartment,word,
business,national organization,
policy change,matter,
the employment,reason,
berm,an impervious containment system,
affirmative action program,equal opportunity program,
wind turbine,renewable energy resource,
the Detention Facility,the DoD,
the World,external partner,
space,domain,
open house,occasion,
street address,a state,
State,any person,
emergency care,comprehensive medical and psychological treatment,
DEA certification,the civilian community,
International Military,organization,
spreadsheet,office automation package,
sexual assault,bodily harm,
adequacy,posture,
hazard,threat,
security,operation planning,
the cost,agreement,
remote location assistance,deployment issue,
communication,the communication,
United States Public Health Service personnel,and DoD healthcare provider,
the DoD Component,assistance,
supplemental sampling procedure,service,
broad agency announcement,all solicitation,
cost sharing,funding guidance,
