,hyponym,hypernym
275,a record,the incident
276,counterfeit materiel risk reduction,materiel management
277,annex,word
278,logistics,support and C2 function
279,instruction,MPO personnel
280,work address,completeness
281,rdt,activity
282,medical record,member disability case
283,when ,all time
284,situation,a cybersecurity breach
285,time,the delay
286,exist lease,real property agreement
287,public awareness program,conservation method
288,extra duty,mean
289,baggage transfer,incidental travel expense
290,software,topic
291,DoD policy,and regulation
292,applicable DoD civilian personnel,the DoD Components
293,statement,narrative
294,risk,security management process
295,datum asset,service
296,result,reliability assessment
297,outyear funding requirement,current and future funding need
298,Navy Reserve,the SELRES
299,any state,entity
300,National Guard member,active duty
301,the submit activity,CMD recipient
302,accounting service,area
303,a human subject,member
304,environmental law,consideration
305,the opportunity,informed consent
306,ultimate property disposal,administration
307,the direction,the Armed Forces
308,flyover,aerial demonstration
309,military construction,planning and compliance status
310,broker,all commercial entity
311,crew,the DoD
312,the rf output,rf output power
313,regulation,information
314,appeal,all foreign judicial proceeding
315,vehicle,article
316,personnel,asset
317,the FBI,Justice
318,the serial number,the housing
319,the source,factor
320,wheelchair ramp,accommodation
321,research,water resource materiel
322,all attempt,the record
323,the District,the United States
324,reference,a recognize standard
325,a member,a person
326,facility,resource
327,building,mission
328,punch 1,rubber item
329,community relation,the DoD
330,lock,physical security support requirement
331,ultimate disposal,transfer
332,approve finding,specific nuclear weapon system
333,risk factor,risk assessment methodology
334,authorize attendant,secretarial designee health care beneficiary
335,quality surveillance,contract administration function
336,type,item
337,evaluation,document
338,nlws,than deadly force
339,watch,item
340,any death,time
341,executive and withhold aircraft,all DoD OSA aircraft
342,component,item
343,caregiver,medical source
344,financial status,characteristic
345,IC element,the OGA head
346,DC3 analysis,CS and IA activity
347,Sigma,RD
348,repose,NCR JOA
349,SCI,information
350,eop,electronic messaging service
351,specialist,multidisciplinary team
352,seizure,civilian law enforcement activity
353,forensic and analytic support,unclassified DoD information
354,expiration,datum accuracy
355,labor,food cost
356,change,an operational range
357,depot maintenance,depot maintenance
358,a black eye,minor injury
359,development,the QDR
360,right,the IDES process
361,engineering,all technical document
362,garrison clinic,any MTF
363,cutoff and disposal instruction,schedule
364,selective placement factor,the certification
365,the responsibility,employee
366,intangible,the above specific description
367,the Nuclear Weapons Stockpile Memorandum,annual report
368,adjunct,instructor
369,an initial determination process,application
370,milestone B,key acquisition decision point
371,war reserve,product
372,crocidolite,mineral silicate
373,assumption,potential risk
374,documentary,medium production
375,impact,qualitative factor
376,deploy location,DoD
377,meeting,the North Atlantic Treaty Organization
378,hospitality service,White House function
379,depot,organization
380,a joint civilian nafi,level
381,whether the medical condition,command
382,the name,information
383,basic marksmanship,basic military skill
384,a memorandum,any agreeable mean
385,sexual assault,violent alleged crime
386,the cost estimate,that order
387,preparedness,public health and medical DSCA support
388,a pipe,the air
389,transportation,civilian nafi
390,financial datum,the DoD
391,monitoring,activity
392,agency,factor
393,identification datum,fund
394,model,that DoD analytical tool
395,human resource support,area
396,family member,the total population
397,military,assistance
398,acquisition,centralized service
399,funding constraint,requirement
400,broad agency announcement,all solicitation
401,testing,installation
402,conversion,excess uh
403,the adjacent territorial water,Territory
404,DoDD,security policy
405,building,facility
406,support structure,superstructure
407,sabotage,traditional method
408,formal luncheon,meal
409,pom submission,programming
410,map,public disclosure geospatial information
411,Comcast,service
412,review,investigator
413,acquisition,defense and intelligence space activity
414,area,area
415,AM datum management good practice,framework
416,proper logon,IA procedure
417,specification,all applicable technical datum
418,CBRN protective ensemble,any require IPE
419,donation,the Defense Material Disposition Program
420,the allege ,a minimum
421,defense acquisition,all IT
422,spill,contingency location
423,logistical support,cooperation
424,the Joint Staff IG,ig
425,logistics center,organization
426,transcriber,elect official
427,shareholder,any individual
428,development,strategic mission
429,order placement,business transaction
430,a statement,documentation
431,design,joint project
432,test event,program activity
433,version,PDF
434,the land,NCR
435,smartphone,mobile device
436,sharing,physical safeguard
437,a submarine,a ship
438,DoDI,transfer
439,criterion,a minimum
440,training,DoD mission activity
441,war,DoD requirement
442,subassemblie,aircraft
443,the Young Mens and Womens Christian Associations,organization
444,lounge,common area
445,alternative credential holder,medium priority
446,ssr,tool
447,the Director,time
448,explosive,the energetic material
449,grass mowing,Grounds maintenance
450,element,the DoD
451,muscle atrophy,the hand
452,cybersecurity,survivability
453,card stock,CAC consumable
454,tattoo,trait
455,storage,operation
456,item,Excess item
457,modify hardware,commercial hardware
458,associate DoD,USMEPCOM or DoDMERB personnel
459,disposition,this issuance
460,appropriate record keeping,a specific medical protocol
461,the Organization,security dimension
462,the review,AoA oversight
463,control objective,narrative
464,radiology,ancillary service
465,network,or contractor resource
466,ontology,structural metadata
467,record acquisition,all need accounting function
468,medical assistance,federal entity
469,web site,private and public medium
470,environmental restoration,specific problem
471,ESD,stimulus
472,obscuration equipment,application
473,the territorial sea,navigable water
474,product support,capability requirement
475,translator,appropriate attendee
476,the basis,the weapon system acquisition process
477,decision point,execution
478,electronic datum transfer,export license review
479,MA process execution,task
480,military,educational activity
481,awareness,the Components SCI security program
482,monitoring,the program
483,an explanation,recommendation
484,operating instruction,purpose
485,the name,the Board
486,short message service texting,device
487,performance report,document
488,testimony,prospective candidate
489,EIS,EDIS
490,user request form,CATMS
491,Earth Day,national event
492,natural event,challenge
493,those individual,car pool
494,employer cost,benefit
495,an order,an order
496,cap,the contract
497,military exchange,authorized activity
498,evaluation,effectiveness
499,open play bowling,service
500,block upgrade,major program change
501,pen,those material
502,a common access card,current DoD login credential
503,the Council,RC facility
504,city,a state
505,the evaluation factor,this Instruction
506,cyber,focus area
507,holiday meal,special occasion
508,electronic record,these record
509,DMDC,issue
510,host,a DoD Component
511,audio,file
512,plan,security measure
513,an identity database,factor
514,the protection,this definition
515,cross,contamination
516,each calendar year,1 day
517,cost,the CBJB
518,trainee,initial entry training status
519,assignment,Military Department
520,previous location,the previous tank system
521,sheet,internal security item
522,removal,the closure plan
523,pay,NAF personnel management
524,mask,equipment
525,efficiency,the service
526,wastewater collection,utility
527,title IV,financial aid
528,natural and cultural resource,office
529,associate personnel,system
530,use battery,the military exchange
531,terrorist,destruction
532,the wound warrior program,time
533,repository,STI service
534,name,information
535,security,task
536,the DoD IACs,the DoD repository
537,enemy prisoner,war
538,staffing,resource
539,reliability,identify system engineering requirement
540,Program Objective Memorandums guidance,document
541,DFSP transaction processing oversight,regional office responsibility
542,pressure vessel,commodity
543,process step,the Service member
544,training,operational factor
545,International Military,organization
546,romaine,50 percent dark green leave
547,a final decision,time
548,infrastructure service,multiple service layer
549,oversight,this issuance
550,soil component,Nonliving resource
551,control system,item
552,child abuse,serious and violent crime
553,panograph,employee medical and dental record
554,pharmaceutical,resource
555,wraparound gown,a solid front
556,regulation,procedure
557,programmer,researcher
558,SATCOM,communication
559,history,information
560,the Pan American Games,national and international sporting event
561,patrolling,basic military skill
562,fluid,potentially infectious material
563,management,aircraft
564,technical support,remote access
565,wind,technology
566,proper use,OEH control
567,a generic designator,PCBs
568,Administrative,every Committee meeting
569,fit restriction,critical feature
570,equipment,conventional munition
571,retirement,nuclear weapon stockpile
572,foreign medical capability,issue
573,equipment,item
574,barrier material,protective measure
575,identification,the OSN
576,incentive structure,activity
577,body armor,personal protective equipment
578,date,activity
579,fungus,harmful microorganism
580,MSPB,an Agency
581,hearing,Physical development
582,the Service member,for which the total expect cost
583,adverse or reportable information,the PRB
584,target designation,function
585,IDT,associate cost
586,honor,core belief
587,the summer month,summer language immersion program
588,name,the DPAS officer directory
589,an offense,abuse case
590,CYP,DoD activity
591,evaluation,program
592,item,specialized item
593,building,propose contract facility
594,a list,the reporting period
595,equipment,a minimum
596,material,the USTRANSCOM courier network
597,a professional degree,qualification
598,movement,DPAA operational requirement
599,passive radio frequency,AIT
600,all element,developmental BMDS
601,message,attachment
602,education,goal
603,student,group
604,archival function,STI service
605,cook,Support
606,development,planning activity
607,body part,an infectious agent
608,the United States Coast Guard,the Military Departments
609,the DRB President ,decisional document
610,emergency,HN partner
611,information,congressional and DoD reporting
612,customer,all commercial entity
613,a description,the change
614,recommendation,revise safety rule
615,a factor,circumstance
616,Associated,Toxicological Agents
617,owner manual,documentation
618,activity calendar,promotional device
619,emotional and spiritual support,referral
620,award citation,formal communication
621,the mcio,DoD law enforcement organization
622,introduction,factor
623,pyrotechnic,the energetic material
624,flight line operation,activity
625,Privacy Act,CUI
626,organization,RTF capability
627,surplus,a Military Service or Defense Agency
628,guidance,instruction
629,operation,retirement
630,the name,this issuance
631,cost,suitability
632,Survivor Benefit Plan,o Retirement planning
633,project,Oversees DDS operation
634,country and theater clearance,requirement
635,fit restriction,a critical feature
636,record,the childs cumulative folder
637,big box discount,use
638,Military Department execution,account
639,the relationship,circumstance
640,Teletypewriters,tdd
641,endemic infectious disease agent,health hazard
642,chemical,DSCA activity
643,policy,oversight
644,the determination,complaint
645,briefing,evaluation
646,any DoD,Coast Guard
647,line,ccmd
648,the courier,country
649,unclassified information,SNM facility
650,DoD Electronic Mall,potential commercial source
651,the requirement,summary
652,specialized team,resource
653,the implementation,equipment
654,training,annual training
655,the authorization,an incident
656,business development,implementation funding
657,ELOs,one CMT
658,aggregate datum or sanitize report,information
659,safety,activity
660,activity,CDPs
661,a President,three voting member
662,DTD,an NTV
663,the use,this instruction
664,responsibility,the United States
665,DoDI,guideline
666,electrical equipment tank,operational purpose
667,the rehabilitation,goal
668,area code,number
669,a requirement,instruction
670,cybersecurity,vulnerability identification
671,the time,customer
672,preparatory step,this instruction
673,scarf,accessory
674,applicable regulation,Federal personnel
675,large number,life
676,program evaluation,activity
677,use,vulnerability
678,RMs,program
679,DoDD,applicable authority
680,support,support
681,the DoD,the DoD Components
682,guidance,the DoD
683,direction,conduct and ethic guidance
684,U,IMD
685,DoDIs,standard
686,global restationing requirement,a military installation
687,the ROs,all relevant participant
688,difference,Inventory discrepancy
689,annual USDA funding,management program
690,bladder,temporary container
691,procedure,program
692,graduate,all health profession
693,information,DoD
694,casual and work clothing,personal clothing
695,receipt,event
696,U,facility
697,outline MCs,preliminary draft document
698,access,privilege
699,education transition,military life
700,technology,sustainment innovation
701,scientist,researcher
702,embed graph,briefing slide
703,the DoD Intelligence IS,SCI system
704,education,relation activity
705,act,disaster
706,the Administrative Judge,additional time
707,cyber threat,or threat
708,camp,word
709,assumption,joint force global action
710,outreach,support function
711,tactical radio,lmr functionality
712,embarrassment,harm
713,the promulgation,appropriate mean
714,engineering term,tool
715,interface,federal agency
716,UAM standard,strategy
717,classification,additional information
718,any SCI,all SCI material
719,carrier,cargo
720,DTIC,the DoD repository
721,a cot,TDY
722,the frequency,periodic program review
723,the Office,the Military Departments
724,testing,appropriate assessment
725,military qualification,component
726,grade,factor
727,head,any previous physical harm
728,shoe,accessory
729,banner marking,classified message
730,sale,ensure transfer
731,threat assessment,finished intelligence
732,tape device,peripheral device
733,bowl lifting,operate system
734,metallic aluminum,a fuel
735,room,word
736,the provider assessment,the Service member
737,expungement,this issuance
738,completion,vehicle
739,platform service,multiple service layer
740,physical isolation,special consideration
741,the listing,the SAR
742,manufacturing,facility
743,verification,service
744,liability,cooperation
745,the Secretary,additional regulation
746,American,standardization agreement
747,classification,classification guidance
748,arrangement,establishment
749,information,materiel
750,receipt,physical inventory action
751,book,all write information
752,a review,the PDBR
753,the Computer Club,school sponsor club
754,grading,student
755,effort,the transportation requirement
756,first aid,principle
757,work file,document
758,ability,the work environment
759,author,attribute
760,development,support
761,family member,commercial fuel availability
762,qrps,the ISWM program
763,vendor,all party
764,video,large data file
765,automate data transfer,format
766,litigation,specific legal problem
767,assignee,another recipient
768,standard,all applicable technical datum
769,boarding,airfare transaction
770,transfer,active duty
771,the designate approve authority,the IA staff
772,DoD,the DoD IE
773,development,the USSS
774,cash award,an award program
775,the town name,the near civilian community
776,technical content,program definition
777,licensure,clinical privileging standard
778,personnel security investigation record,purpose
779,vagrancy,serious offense
780,silk,static generating stocking
781,impact area,operational range
782,incident and accident report,all message
783,serious injury,or dental care
784,the survey area,that geographic area
785,heating,item
786,civilian control,human right
787,sexual or excretory activity,nudity
788,material,nature
789,the facility,capability
790,the FGI,any information
791,target population,the public
792,mineral,Nonliving resource
793,an HPA,external power amplifier
794,exception,the response
795,clothing,expendable end item
796,reporting,a specific medical protocol
797,bowling instruction,service
798,accounting line,Depositor information
799,the RC BCAC,DCAOs
800,which department,factor
801,intelligence and security schoolhouse,learning
802,environmental law,regulation
803,profit,item
804,spare or replacement part,a criticality analysis
805,action,an issuance action
806,foreign government,customer
807,intermediate phase,the complete life cycle
808,event,afn broadcast purpose
809,code,formal joint PR training
810,DoD Component,time
811,coordination,relocation
812,rain,wet weather event
813,outcome,PCA datum
814,accountability,federal fleet reporting
815,public information product,afn use
816,mechanism,user requirement
817,coordination,NLW human effect
818,policy,instructional service
819,the full life cycle,supply
820,research,facility
821,hydrogen sulfide,volatile or acutely toxic industrial chemical
822,equipment,foreign area
823,section,medical facility
824,reply,correspondence
825,rodent control technique,vertebrate disease reservoir
826,the bar,the relevant fact
827,system security,issue
828,contingency,all military operation
829,support,MWD tasking request
830,cold climate,unique situation
831,use,this regulation
832,speech,prospective candidate
833,data collection method,the evaluation design
834,grooming,pet care
835,support,the committee requirement
836,review,this instruction
837,the Defense Privacy,Compliance
838,permanent change,Lodging
839,video,document
840,vehicular damage,all associate lease cost
841,complex digital datum,the technical data requirement
842,the National Incident Management System,Preparedness System
843,presidential directive,procedure
844,contact information,specific office
845,the name,this procedure
846,policy,sensitive special operation
847,the employment,operation
848,program manager,acquisition official
849,private party,afn broadcast purpose
850,any negative impact,waiver
851,food,individual emergency preparedness
852,asset,testing
853,source,anyone
854,raw material,all item
855,the Coast Guard,Navy
856,risk management,the process
857,biological or chemical wmd,WMDs
858,the receiver,time
859,sizing,the MRTFB
860,service definition,functional capability
861,a review,major work sponsor participation
862,Participating Agencies,program
863,compliance,CERCLA standard
864,NWRM,CII
865,faculty,program
866,research,medical institution
867,heat stress,hazard
868,procurement,USSOCOM
869,pulse power,component
870,future expenditure,subsequent protection requirement
871,dissemination control,the overall classification
872,those personnel,the GSLB
873,personnel,or contractor resource
874,training mission,DoD aircraft
875,airspace,coastal States national airspace
876,PFPA,week
877,typewriter,equipment
878,chemical,and material
879,approval,official purpose
880,a disaster,unanticipated event
881,holiday meal,occasion
882,emergency,incident
883,Fisher Houses,Military Treatment Facilities
884,Title,the DoD
885,pit,manufacturing area
886,all response,Intelligence report
887,detainee,any person
888,word,Federal information processsing system
889,support position,faculty position
890,midshipman travel,opportunity
891,counseling,corrective measure
892,reference,relevant policy
893,background,the function check
894,quantity,historical DoD vaccine usage datum
895,system,test strategy
896,CWMD,assigned mission
897,any work,child
898,the Equal Employment Opportunity Commission,any forum
899,organic or unique military capability,military materiel
900,the revalidation statement,Congress
901,period,all time
902,environmental management,program
903,any area,incident scene
904,gender,relevant demographic datum
905,episodic television program,government entertainment medium production
906,a mulch,a useful product
907,orc,operational range
908,subsystem,supply
909,installation community support system,environment
910,audiographic,mediate instruction
911,judicial decree,document
912,cobalt,critical metal
913,DCO internal defensive,cyberspace operation policy
914,office symbol,the waiver
915,DoD legal authority,issuance
916,radio,electronic and allied equipment
917,staff,the DoD Component enclave
918,research,technical and analytical assistance
919,all place,territorial sense
920,fund,DoD
921,an offense,a crime
922,equipment,item accountability
923,neutralization,process
924,transportation,support and C2 function
925,the information,a minimum
926,demolition,excess uh
927,all scientist,personnel
928,protective measure,community response
929,software,Center
930,access,specific STIP function
931,housing,military facility
932,the cost,agreement
933,sexual assault,problematic behavior
934,design,project
935,processing,business transaction
936,physical and electronic file,any form
937,boundary defense,standard IA capability
938,primary care manager,professional
939,any gathering,a partisan political gathering
940,open enrollment period,matter
941,skin rash,allergic reaction
942,relationship issue,stressor
943,special compartmented information billet support,administrative service
944,deterioration,physical or mental illness
945,military,mission accomplishment
946,outgrant,real property
947,area,the installation cultural resource
948,any amendment,each international agreement
949,WMM,waste
950,two control material,an extraction phase
951,communication,the DoD information enterprise
952,extremely high and high mitigate risk factor,RMT event
953,food,program element
954,promulgation,information system
955,reduction,layout
956,equipment,force materiel
957,chemical,terrorist attack
958,a housing area,natural boundary
959,equipment,combustible matter
960,OEH,activity
961,References,information
962,production,program
963,water,resource
964,prioritization,defense article
965,OpsDeps,adjudication
966,authority,this issuance
967,U,DoD security cooperation
968,a homeless assistance planning board,nonprofit organization
969,potential,information
970,the U,the United States
971,the application process,time
972,manikin,when alternative
973,complete delivery,postage
974,damage,a building
975,UAV,the air
976,manpower,administrative and common support service
977,defense attach office,foreign country
978,special purpose access,SCI access
979,pesticide application calculation,the core phase
980,the associate nuclear support facility,prototype
981,a designation,condition
982,a telework center,alternative worksite
983,DoD support,service
984,personnel,a single authority and security policy
985,hookup,the proper procedure
986,level,factor
987,ethical issue,challenge
988,recruit,initial entry training status
989,appropriate export control warning,inspection
990,ccis,TSN CC
991,request waiver,certification
992,removal,disciplinary action
993,current and future automate information system,the DoD PM enterprise
994,any improvement,real property
995,documentation,business associate
996,major contracting action,agency
997,provision,compliance
998,care,federal agency
999,education,prevention and response program
1000,posting,pesticide exposure
1001,frequency,variable
1002,a recommendation,review
1003,special education,a FAPE
1004,associated concern,munition
1005,associated standard,the DoD NFIRS Program
1006,it standard profile,technical guidance
1007,exist and planned mitigation,NC status
1008,law enforcement use,critical duty
1009,tobacco,commissary product
1010,the requirement,this issuance
1011,any Service member,any patient
1012,child,the customer participation
1013,SES position planning,area
1014,require artifact,requirement
1015,emergency care,medical treatment
1016,remote equipment,the is
1017,an evaluation,grant
1018,weather,movement
1019,land,resource
1020,contractor employee,all personnel
1021,maintenance,service member
1022,vault,storage container
1023,the recommendation,record
1024,the ACO,responsible personnel
1025,spore,live organism
1026,problem,personnel
1027,the waiver,time
1028,TSC,relate technical area
1029,book,item
1030,electronic trade,private and public medium
1031,advertisement,a political issue
1032,preventive maintenance inspection,the manufacturer specification
1033,selective placement factor,eligible candidate
1034,video game,stress relief
1035,final disposition,JOA
1036,cyberspace metric,focus
1037,coordination,leadership
1038,the Department,appropriate source
1039,Special Operations Forces,Defense
1040,contracting,official
1041,section,eight page
1042,associate risk matrix,narrative
1043,policy,YP facility
1044,construction,all service contract
1045,disabled veteran,disability
1046,Part,policy
1047,help,service
1048,television,public medium
1049,adherence,this instruction
1050,paperback book and magazine kit,item
1051,specific citation,the denial
1052,job performance aids,professional development
1053,information system,asset
1054,operation,management
1055,the use,action
1056,ammunition,the DoD
1057,additional review,an IRB
1058,classification,procedure
1059,who,anyone
1060,wall,form
1061,technology insertion,major program change
1062,enlistment,the Military Services
1063,transportation cost,property
1064,nomination,nep activity
1065,counseling,measure
1066,commercial partner,activity
1067,OCONUS,all DoD civilian personnel
1068,DoD response,service
1069,article,DoD property
1070,Supplemental Security Income,Federal benefit
1071,base,sea and associate support activity
1072,the Defense Office,component website
1073,bedding,item
1074,member,military personnel
1075,National Environmental Policy Act,environmental consideration
1076,test,all technical document
1077,table service,Food and beverage activity
1078,consideration,mission accomplishment
1079,disparate treatment,discrimination
1080,equipment,USSOCOM
1081,the software,PDF
1082,Federal,internal and external stakeholder
1083,supply,USSOCOM
1084,an employee,the United States
1085,Military Department IGs,ig
1086,combat operation,military operation
1087,operate building,facility
1088,shipping,business transaction
1089,development,activity
1090,event,military service
1091,motion picture,vi medium element
1092,cellular telephone,the ICT infrastructure
1093,duty,core belief
1094,RD,special handling caveat
1095,depot level datum,appropriate life cycle item management datum
1096,air datum recorder,Transportation Safety Board modification
1097,master,detention operation
1098,pond,manufacturing area
1099,prescribe drug,inventory item
1100,cigar,consumption
1101,radio frequency identification,tool
1102,any firm,supply
1103,the Federal PIV card,DoD information system
1104,original art,graphic art
1105,who,all DoD civilian personnel
1106,size,all exist caa permit
1107,power plant,auxiliary building
1108,procedure,access control
1109,a door frame,ground item
1110,salary,compensation
1111,deadhead,the measure route distance
1112,the local emergency planning committee,local EM activity
1113,program,DoD STARBASE Program guideline
1114,automatic coverage,matter
1115,communication,area
1116,automobile,vehicle sale
1117,all retire military member,Federal Government
1118,apprenticeship,job training and employment skill training
1119,club house,facility
1120,pay,matter
1121,excerpt,MPS
1122,harassment,discrimination
1123,a performance award,than one monetary award
1124,child development training module,and responsibility
1125,partnership,healthcare provider
1126,security force,detention operation
1127,delivery order number,the contractor and contract number
1128,ACAT IB program,all mdap
1129,an explanation,each MIE
1130,development,nuclear weapon stockpile
1131,appeal,litigation
1132,alteration,any property improvement
1133,access,appropriate clinical support
1134,physical security,matter
1135,bacteria,harmful microorganism
1136,the COPE or reserve custodian,that MPO
1137,legislative investigation,budgetary and fiscal matter
1138,passport,requirement
1139,nondestructive testing,method
1140,rating,member disability case
1141,harassment,behavior
1142,name,the certification
1143,the fact,all the information
1144,completion date,a material weakness
1145,letter,shipment
1146,HP,disposal
1147,facility,or contractor resource
1148,end,wideband satcom space segment component
1149,gas,utility service
1150,consideration,the base
1151,motor pool,activity
1152,immunodeficiency,the immune system
1153,operational range,the United States
1154,toothpaste,article
1155,conflict,and debrief memorandum
1156,military standard,authoritative source
1157,assessment,psychosocial service
1158,air,domain
1159,device,force materiel
1160,accelerometer,attachment
1161,sexual assault,crime
1162,FPCON,security
1163,chemical,material
1164,common share datum,share enterprise service
1165,development,process action
1166,Executive Orders,guidance
1167,weapon,large scale population health threat
